aX,aY,aZ,gX,gY,gZ
0.634,1.398,1.229,39.490,18.494,41.382
0.706,1.888,1.276,25.146,39.246,77.515
0.545,2.724,1.243,-1.831,36.133,89.783
0.298,2.947,1.174,-74.646,-2.930,74.463
-0.158,2.882,0.857,-112.366,-35.461,41.443
-0.263,2.583,0.619,-141.602,-114.990,-47.546
-0.369,1.457,0.410,-109.802,-133.423,-79.712
-0.374,0.683,0.546,64.392,-40.344,-83.740
-0.296,-0.789,0.866,135.620,39.856,-63.049
-0.283,-1.318,0.845,155.151,76.599,-52.917
-0.337,-2.036,0.765,112.305,7.019,-67.505
-0.422,-2.166,0.662,22.827,-184.204,-96.191
-0.404,-2.297,0.850,50.110,-206.848,-107.300
-0.227,-2.272,1.055,160.461,-66.040,-121.033
0.302,-1.977,1.202,170.288,2.747,-120.361
0.510,-1.784,1.118,98.389,31.128,-82.642
0.699,-1.431,0.955,57.373,11.719,-47.302
0.614,-1.237,0.956,-9.705,-42.053,39.368
0.087,-0.779,0.925,-40.344,-61.584,74.219
-0.183,-0.564,0.842,-68.970,-54.993,100.342
-0.460,-0.243,0.614,-61.890,-36.926,94.666
-0.508,-0.121,0.541,-31.555,-21.484,69.458
-0.518,0.029,0.588,-12.817,-25.452,51.758
-0.481,0.047,0.683,26.123,-29.724,12.756
-0.362,-0.027,0.920,40.771,-25.635,-1.648
-0.301,-0.083,1.018,46.326,-6.042,-8.057
-0.192,-0.168,1.076,41.321,8.240,-5.676
-0.138,-0.215,1.077,38.696,34.851,-5.920
-0.045,-0.335,1.108,38.879,45.532,-6.775
0.005,-0.369,1.085,32.227,68.298,-2.686
0.109,1.554,1.400,-18.005,1.404,-3.479
0.082,1.857,1.418,-39.185,10.132,-7.996
0.065,2.276,1.292,-57.739,10.559,-17.334
0.074,2.284,1.208,-101.501,-20.325,-49.561
-0.073,2.054,1.033,-112.793,-38.208,-59.448
-0.193,1.904,0.913,-104.492,-47.546,-61.523
-0.454,1.295,0.694,-98.267,-43.335,-57.617
-0.691,0.210,0.291,-43.396,-6.470,-46.082
-0.711,-0.488,0.336,52.063,27.527,-61.584
-0.554,-1.803,0.687,168.640,46.997,-107.788
-0.423,-2.255,0.910,107.666,-19.836,-115.295
-0.234,-2.522,1.191,48.889,-61.890,-119.995
0.183,-2.568,1.064,93.628,34.668,-128.784
0.417,-2.481,0.799,135.742,128.540,-136.047
0.873,-2.143,0.643,103.333,73.486,-119.751
0.945,-1.851,0.684,37.781,-28.992,-47.729
0.708,-1.265,0.849,21.545,-56.580,-10.864
0.486,-1.028,0.973,-4.150,-102.966,32.410
0.074,-0.636,1.055,-13.611,-98.816,40.466
-0.049,-0.463,0.973,-24.536,-53.528,41.748
-0.158,-0.222,0.743,-25.269,-43.518,36.682
-0.193,-0.150,0.723,-12.695,-50.781,28.687
-0.238,-0.055,0.886,-5.676,-53.040,24.414
-0.232,-0.035,0.988,3.723,-44.495,12.207
-0.186,-0.033,1.159,9.033,-33.508,5.981
-0.155,-0.043,1.193,20.630,1.770,-4.150
-0.055,-0.091,1.132,24.780,18.188,-7.568
0.000,-0.119,1.076,22.888,28.870,-9.460
0.065,-0.158,0.986,18.372,23.254,-9.949
0.090,-0.190,0.981,13.428,11.475,-9.460
0.438,1.318,1.419,-92.407,10.254,-12.756
0.333,1.734,1.330,-141.174,16.235,-5.493
0.168,2.329,1.071,-159.546,10.559,-15.869
0.130,2.405,0.953,-177.612,-19.104,-54.810
0.059,2.234,0.606,-180.908,-39.429,-70.679
-0.003,2.078,0.376,-162.537,-94.788,-94.604
-0.175,1.528,0.104,-129.700,-122.620,-108.521
-0.321,1.055,0.152,-17.517,-105.957,-126.465
-0.388,-0.151,0.354,41.321,-37.170,-126.709
-0.411,-0.613,0.451,110.596,83.313,-54.016
-0.729,-1.168,0.371,118.713,106.934,-42.786
-0.560,-1.397,0.357,80.322,-163.635,-18.494
-1.091,-1.831,1.130,21.973,-417.541,25.146
-1.244,-1.853,1.668,69.153,-380.554,-65.125
-0.716,-1.783,2.136,174.561,-135.803,-106.506
-0.314,-1.689,1.935,233.093,220.581,-138.916
0.517,-1.437,1.055,172.058,255.676,-136.902
0.830,-1.313,0.603,54.687,153.198,-83.801
0.920,-1.027,0.523,28.992,54.626,-42.297
0.695,-0.854,0.901,-10.803,-116.028,26.245
0.156,-0.542,1.401,-32.654,-127.502,44.006
0.040,-0.415,1.293,-48.462,-26.184,59.692
0.001,-0.197,0.803,-43.640,15.747,60.730
-0.007,-0.103,0.670,-36.621,11.108,50.781
-0.045,0.005,0.706,-30.151,-5.859,41.443
-0.057,0.025,0.774,-3.418,-12.939,25.452
-0.075,0.045,0.888,11.536,-8.850,20.325
-0.082,0.039,0.943,23.499,-6.348,16.052
-0.075,-0.005,1.073,32.288,-5.493,12.451
-0.073,-0.020,1.128,27.527,-3.357,15.503
0.259,1.502,1.231,-8.972,8.850,-32.104
0.158,1.909,1.271,-0.366,24.719,-20.142
0.092,2.074,1.202,1.404,36.804,-16.663
0.048,2.176,1.105,-10.254,41.626,-39.063
-0.030,2.175,0.845,-28.015,32.104,-57.983
-0.119,2.080,0.680,-72.388,1.770,-77.209
-0.475,1.672,0.346,-82.214,-4.089,-79.407
-0.755,1.220,0.108,-27.954,78.491,-117.249
-0.815,-0.119,-0.285,33.081,121.826,-128.113
-1.052,-0.808,-0.209,147.888,126.953,-130.554
-0.813,-1.990,0.117,178.345,98.389,-161.438
-0.667,-2.658,0.482,85.693,-302.795,-69.641
-0.808,-3.222,1.332,32.471,-414.673,-93.506
-0.316,-3.265,1.838,156.982,-151.428,-208.069
0.663,-2.712,2.513,182.434,1.526,-198.975
1.001,-2.245,2.276,62.378,154.236,-119.629
1.367,-1.614,0.825,5.371,184.326,-65.125
1.219,-1.333,0.327,-32.776,87.769,55.725
0.429,-0.751,0.532,-40.710,-9.827,96.069
0.055,-0.529,0.829,-65.369,-110.718,111.084
-0.279,-0.206,0.990,-70.618,-96.375,98.999
-0.305,-0.094,0.917,-57.251,-38.513,65.674
-0.236,0.035,0.811,-45.898,-21.057,49.561
-0.192,0.067,0.812,-25.879,-6.165,23.071
-0.129,0.093,0.918,-18.066,-5.554,9.888
-0.096,0.078,1.001,-11.108,-10.986,-11.108
-0.031,-0.001,1.127,-9.277,-10.803,-14.526
0.002,-0.046,1.151,-0.183,4.272,-9.521
0.080,-0.124,1.105,4.395,15.381,-6.226
0.125,-0.160,1.041,10.925,29.297,-5.737
0.127,1.486,1.276,-32.532,-7.385,2.808
0.058,1.819,1.275,-30.823,-4.089,-11.902
0.063,2.080,1.371,-32.104,-18.616,-41.565
0.095,2.033,1.413,-34.546,-46.082,-96.619
0.111,1.821,1.333,-31.311,-46.814,-108.154
0.101,1.683,1.230,-20.569,-34.790,-114.014
0.013,1.178,1.009,-15.747,-30.090,-114.075
-0.094,0.893,0.931,-5.249,-11.719,-110.352
-0.342,0.310,0.664,-14.404,0.549,-114.441
-0.479,-0.068,0.460,-55.298,-14.465,-125.488
-0.830,-0.887,0.160,-53.223,-35.767,-129.822
-0.978,-1.317,0.150,43.457,-43.030,-153.809
-1.130,-2.025,0.270,108.276,-22.095,-167.297
-1.102,-2.284,0.317,148.865,-19.226,-191.528
-0.787,-2.529,0.579,124.573,-43.396,-196.045
-0.476,-2.525,0.719,101.562,-33.020,-188.721
0.380,-2.253,0.904,115.601,6.226,-168.213
0.715,-2.017,0.890,100.220,64.636,-76.233
