aX,aY,aZ,gX,gY,gZ
0.845,0.019,-0.268,9.399,153.198,56.885
0.829,0.048,-0.285,10.559,147.949,59.570
0.811,0.108,-0.305,9.216,146.057,59.631
0.810,0.141,-0.309,-4.395,140.625,60.486
0.798,0.187,-0.375,-16.174,137.756,60.547
0.785,0.193,-0.445,-38.391,129.761,57.068
0.760,0.185,-0.602,-43.640,122.925,53.406
0.752,0.179,-0.665,-39.734,101.929,45.227
0.752,0.193,-0.697,-32.837,90.515,40.894
0.759,0.209,-0.677,-17.334,75.562,31.860
0.771,0.231,-0.628,-10.986,72.876,28.687
0.772,0.239,-0.618,-6.287,72.510,28.076
0.759,0.257,-0.607,2.319,72.998,29.846
0.758,0.271,-0.598,6.409,73.425,30.334
0.756,0.287,-0.596,7.751,75.684,31.738
0.737,0.307,-0.632,4.639,76.050,31.738
0.723,0.312,-0.658,-3.357,72.083,28.564
0.697,0.317,-0.690,-6.775,68.542,25.574
0.692,0.312,-0.701,-13.245,58.472,18.250
0.701,0.298,-0.731,-16.296,52.185,15.015
0.707,0.291,-0.745,-20.203,40.710,8.362
0.720,0.276,-0.745,-20.996,36.377,5.127
0.725,0.271,-0.734,-20.508,31.921,2.075
0.736,0.268,-0.726,-19.653,32.043,2.563
0.741,0.272,-0.735,-19.165,34.668,5.127
0.739,0.276,-0.769,-19.958,36.316,6.226
0.726,0.269,-0.800,-20.630,37.109,7.019
0.711,0.261,-0.847,-17.456,33.142,6.836
0.716,0.265,-0.845,-13.794,29.053,5.859
0.724,0.272,-0.828,-8.545,21.912,4.517
0.396,-0.210,0.888,13.428,211.426,39.063
0.410,-0.185,0.799,15.442,211.731,39.734
0.432,-0.177,0.759,16.052,197.449,40.894
0.509,-0.170,0.703,16.113,187.988,42.603
0.549,-0.166,0.684,16.174,177.795,46.936
0.614,-0.160,0.642,14.282,176.758,49.194
0.632,-0.159,0.612,7.629,176.514,53.894
0.652,-0.158,0.549,4.883,175.720,56.458
0.661,-0.149,0.519,2.869,173.889,58.899
0.673,-0.108,0.454,-1.343,167.603,60.669
0.681,-0.090,0.433,-5.249,164.124,59.692
0.689,-0.077,0.419,-14.160,159.241,56.641
0.697,-0.052,0.380,-16.785,159.424,54.932
0.695,-0.040,0.348,-17.883,162.354,51.636
0.692,-0.021,0.281,-17.212,162.781,49.622
0.699,-0.019,0.249,-19.409,156.311,46.387
0.731,-0.006,0.205,-22.095,150.391,46.021
0.750,0.004,0.196,-24.658,146.057,43.518
0.783,0.005,0.162,-22.949,149.597,42.053
0.794,0.004,0.140,-16.479,159.668,44.250
0.810,0.007,0.089,-14.221,163.513,47.791
0.802,0.012,0.054,-10.193,170.715,53.772
0.778,0.028,-0.034,-7.202,173.218,53.345
0.779,0.042,-0.067,-4.700,169.128,52.856
0.807,0.084,-0.104,-7.935,164.795,54.687
0.817,0.098,-0.137,-23.987,162.659,60.547
0.797,0.086,-0.284,-32.166,162.476,63.599
0.780,0.080,-0.371,-33.630,153.442,66.162
0.761,0.126,-0.463,-27.222,146.484,65.979
0.750,0.164,-0.469,-19.348,140.991,65.613
0.808,-0.043,-0.024,-20.874,182.251,53.650
0.821,-0.012,-0.052,-21.057,181.152,56.458
0.813,0.000,-0.085,-24.231,182.190,58.533
0.795,0.033,-0.164,-33.630,178.162,62.500
0.788,0.049,-0.202,-37.415,174.927,64.331
0.781,0.062,-0.245,-40.771,169.800,66.467
0.754,0.088,-0.347,-39.917,166.138,66.040
0.745,0.103,-0.404,-33.020,151.978,62.500
0.744,0.161,-0.466,-29.663,143.066,60.242
0.752,0.195,-0.472,-28.625,130.371,56.641
0.760,0.237,-0.489,-30.457,127.747,56.213
0.751,0.253,-0.505,-33.081,126.953,58.044
0.718,0.281,-0.539,-34.241,126.648,58.594
0.699,0.290,-0.564,-38.086,122.925,53.650
0.674,0.299,-0.638,-41.016,118.164,48.279
0.666,0.301,-0.676,-50.598,99.060,35.889
0.667,0.300,-0.710,-55.420,86.121,29.602
0.676,0.293,-0.703,-58.472,74.097,22.522
0.699,0.272,-0.698,-63.538,61.035,13.367
0.698,0.264,-0.712,-66.589,58.167,12.451
0.694,0.236,-0.776,-66.345,55.054,10.132
0.700,0.222,-0.808,-62.256,54.260,9.705
0.709,0.216,-0.825,-48.889,56.213,13.062
0.706,0.229,-0.826,-41.748,59.814,15.259
0.695,0.238,-0.817,-33.569,65.674,17.578
0.679,0.248,-0.796,-34.668,65.063,17.944
0.651,0.239,-0.806,-41.870,60.608,18.311
0.630,0.230,-0.822,-43.945,58.533,17.761
0.614,0.222,-0.832,-41.504,52.856,14.771
0.613,0.211,-0.839,-38.757,49.744,13.733
0.709,0.017,-0.352,15.320,224.854,88.135
0.674,0.055,-0.390,11.780,212.585,88.928
0.625,0.113,-0.486,0.793,180.847,87.158
0.616,0.137,-0.531,-9.277,148.743,80.139
0.641,0.185,-0.585,-15.137,135.742,76.355
0.653,0.209,-0.601,-27.466,119.568,72.266
0.642,0.241,-0.645,-29.419,117.554,70.862
0.628,0.250,-0.671,-27.283,118.774,69.275
0.581,0.282,-0.714,-16.541,122.681,66.284
0.558,0.303,-0.721,-10.742,122.375,63.354
0.547,0.325,-0.727,-4.883,113.586,53.955
0.550,0.328,-0.736,-5.249,106.567,49.866
0.554,0.341,-0.751,-5.920,95.276,43.884
0.552,0.357,-0.747,-6.287,92.285,41.199
0.550,0.379,-0.745,-16.724,87.769,36.133
0.543,0.371,-0.767,-27.161,84.229,34.424
0.529,0.333,-0.842,-41.565,76.111,30.090
0.523,0.314,-0.879,-41.199,73.853,27.466
0.504,0.310,-0.919,-34.119,70.557,25.452
0.498,0.314,-0.921,-31.250,66.833,23.987
0.498,0.317,-0.915,-30.334,56.274,20.081
0.500,0.313,-0.915,-30.884,52.612,18.250
0.495,0.308,-0.931,-30.945,47.424,14.709
0.490,0.303,-0.957,-30.640,43.823,12.939
0.493,0.301,-0.962,-30.640,36.011,10.132
0.505,0.292,-0.980,-30.029,33.447,10.071
0.504,0.291,-0.992,-24.902,32.227,11.536
0.486,0.303,-1.008,-21.484,31.555,11.475
0.478,0.310,-1.003,-18.005,25.330,8.240
0.480,0.304,-0.979,-18.188,20.386,5.798
0.706,-0.063,0.212,-15.869,172.424,30.334
0.725,-0.053,0.201,-2.075,181.702,29.053
0.761,-0.053,0.136,0.488,187.805,29.297
0.774,-0.067,0.077,2.075,194.214,31.799
0.793,-0.072,-0.028,4.089,193.237,34.424
0.801,-0.061,-0.057,9.705,188.049,39.734
0.817,-0.037,-0.109,12.817,187.134,42.297
0.817,-0.026,-0.139,18.982,189.514,49.377
0.781,0.037,-0.204,20.752,190.491,52.124
0.752,0.080,-0.247,12.451,182.068,51.208
0.724,0.129,-0.355,-0.244,169.250,47.791
0.730,0.124,-0.413,-30.762,131.287,39.246
0.763,0.096,-0.498,-38.574,114.502,35.583
0.779,0.093,-0.521,-38.147,104.614,32.288
0.792,0.109,-0.530,-21.667,103.638,27.100
0.798,0.124,-0.512,-11.963,107.666,26.550
0.816,0.155,-0.472,-1.160,118.835,29.114
0.814,0.156,-0.475,1.160,126.709,30.701
0.803,0.151,-0.501,2.014,140.564,38.940
0.752,0.143,-0.575,3.479,142.090,43.091
0.730,0.146,-0.604,12.512,138.184,45.227
0.713,0.166,-0.640,15.747,133.484,45.288
0.712,0.183,-0.655,13.367,120.544,46.143
0.719,0.204,-0.702,9.888,115.112,46.448
0.722,0.206,-0.744,5.310,110.352,48.767
0.692,0.215,-0.835,6.409,109.680,50.232
0.673,0.228,-0.869,14.465,104.126,51.331
0.646,0.283,-0.880,18.494,99.365,50.903
0.634,0.313,-0.869,18.799,89.233,47.913
0.604,0.354,-0.854,14.771,83.496,45.471
0.754,-0.083,-0.170,18.188,221.985,59.937
0.726,-0.042,-0.310,20.752,217.285,63.171
0.730,-0.028,-0.375,17.151,197.571,64.209
0.774,0.012,-0.440,13.550,187.439,65.125
0.788,0.050,-0.442,5.188,177.917,70.313
0.768,0.122,-0.473,-0.427,177.917,73.059
0.736,0.140,-0.525,-9.460,175.842,75.745
0.683,0.148,-0.658,-10.437,171.570,74.829
0.678,0.150,-0.714,-7.263,157.227,71.106
0.684,0.186,-0.788,-5.676,150.269,68.909
0.673,0.211,-0.809,-2.014,138.672,60.608
0.652,0.242,-0.828,-1.282,132.263,56.519
0.643,0.255,-0.828,-6.653,113.464,53.223
0.625,0.269,-0.832,-10.132,103.394,50.720
0.623,0.267,-0.842,-13.367,88.867,43.640
0.609,0.275,-0.851,-13.123,84.045,40.833
0.598,0.283,-0.850,-11.841,75.684,35.339
0.590,0.303,-0.842,-12.695,70.557,32.349
0.594,0.310,-0.848,-18.982,60.608,25.574
0.590,0.307,-0.888,-23.560,56.091,22.217
0.582,0.299,-0.905,-30.090,46.448,16.235
0.570,0.286,-0.909,-30.701,41.443,13.123
0.573,0.278,-0.899,-29.907,36.682,9.766
0.590,0.262,-0.874,-26.428,30.457,5.615
0.594,0.257,-0.869,-24.536,30.029,5.188
0.593,0.251,-0.867,-20.996,31.555,5.493
0.590,0.236,-0.873,-19.226,31.677,5.859
0.591,0.229,-0.883,-14.954,29.724,5.371
0.593,0.211,-0.904,-12.756,27.771,4.883
0.595,0.204,-0.907,-7.019,23.437,6.592
0.746,-0.018,-0.119,31.311,201.477,57.373
0.735,0.032,-0.194,38.086,198.730,62.927
0.729,0.056,-0.241,35.706,195.435,63.538
0.749,0.106,-0.302,21.973,181.641,61.890
0.780,0.132,-0.310,9.766,172.852,61.829
0.792,0.149,-0.335,-22.339,164.490,65.613
0.753,0.132,-0.465,-32.288,165.100,65.857
0.738,0.115,-0.526,-30.151,164.612,64.209
0.734,0.118,-0.593,-23.621,163.208,64.941
0.734,0.136,-0.637,-14.832,157.471,67.444
0.713,0.169,-0.742,-14.160,150.757,66.223
0.706,0.181,-0.775,-16.174,126.892,59.631
0.706,0.208,-0.774,-17.700,112.610,56.519
0.709,0.226,-0.746,-19.958,92.957,51.147
0.720,0.249,-0.693,-18.799,90.271,48.462
0.716,0.246,-0.687,-10.864,97.351,48.218
0.669,0.269,-0.711,-6.836,100.037,51.575
0.641,0.293,-0.725,-4.395,97.046,50.659
0.611,0.321,-0.767,-6.287,92.407,46.326
0.597,0.328,-0.789,-9.827,85.327,41.321
0.586,0.330,-0.806,-19.592,65.735,30.884
0.592,0.321,-0.806,-24.109,56.946,25.696
0.597,0.310,-0.804,-27.527,47.791,17.212
0.598,0.294,-0.799,-26.184,46.875,14.587
0.595,0.292,-0.796,-22.156,48.706,12.146
0.585,0.288,-0.793,-21.240,49.988,11.292
0.582,0.280,-0.801,-23.621,49.011,8.972
0.587,0.255,-0.850,-25.879,46.326,8.179
0.597,0.243,-0.880,-27.161,40.100,8.118
0.609,0.224,-0.913,-24.292,38.940,8.057
0.541,0.259,-0.767,11.047,160.767,69.946
0.501,0.317,-0.762,6.165,152.283,67.932
0.472,0.336,-0.781,-11.963,134.033,61.829
0.459,0.330,-0.810,-20.386,126.343,58.655
0.448,0.328,-0.838,-27.039,116.333,52.673
0.423,0.338,-0.877,-28.381,112.488,49.255
0.412,0.341,-0.905,-31.555,99.854,39.856
0.397,0.331,-0.999,-34.363,91.370,36.011
0.393,0.328,-1.043,-36.621,74.829,29.968
0.394,0.328,-1.081,-34.485,68.420,25.513
0.402,0.328,-1.074,-30.762,55.786,17.456
0.411,0.326,-1.033,-30.334,49.438,15.198
0.413,0.321,-1.019,-28.381,41.321,10.254
0.420,0.308,-1.002,-26.855,38.452,7.446
0.424,0.303,-0.989,-26.123,32.593,3.296
0.434,0.294,-0.957,-26.917,29.968,2.319
0.438,0.287,-0.944,-27.710,27.222,2.808
0.435,0.279,-0.932,-26.978,27.832,3.906
0.430,0.276,-0.936,-25.024,30.762,6.226
0.418,0.264,-0.957,-24.414,31.677,7.080
0.409,0.257,-0.966,-22.644,30.334,7.263
0.396,0.250,-0.973,-21.118,28.564,6.714
0.396,0.249,-0.974,-19.775,26.855,6.775
0.392,0.246,-0.991,-19.531,25.452,8.789
0.381,0.238,-1.014,-19.897,25.330,9.521
0.366,0.228,-1.045,-16.235,22.949,9.338
0.364,0.234,-1.043,-12.268,21.362,9.277
0.358,0.243,-1.043,-6.104,19.836,8.423
0.344,0.254,-1.047,-5.676,17.883,7.141
0.343,0.254,-1.040,-8.667,9.705,3.845
0.522,0.233,-0.648,3.601,163.208,61.768
0.510,0.255,-0.700,1.282,163.940,63.049
0.493,0.272,-0.723,-6.042,167.541,67.566
0.440,0.296,-0.767,-10.315,167.603,69.275
