aX,aY,aZ,gX,gY,gZ
-0.281,-0.373,1.094,-222.595,469.543,52.368
0.926,0.008,0.223,-34.485,47.119,-32.227
0.955,0.017,0.245,-20.935,-2.869,-20.752
0.960,0.022,0.367,16.235,-90.088,-3.723
1.005,-0.016,0.525,42.114,-157.898,15.930
1.013,-0.007,0.805,42.603,-178.711,35.156
0.921,0.048,0.833,37.720,-195.374,52.612
0.654,0.101,0.698,29.724,-242.676,62.012
0.495,0.086,0.615,33.142,-283.142,56.824
0.319,0.038,0.579,68.420,-389.404,34.668
-0.023,-0.144,0.662,104.858,-437.317,18.311
-0.174,-0.230,0.759,184.937,-498.901,-16.846
-0.412,-0.305,0.927,202.332,-520.630,-29.358
-0.489,-0.303,1.037,176.270,-558.899,-48.462
-0.449,-0.321,1.329,150.085,-556.763,-58.594
-0.364,-0.342,1.456,101.746,-479.675,-59.509
-0.224,-0.341,1.601,81.421,-403.381,-48.706
-0.240,-0.377,1.543,49.438,-216.064,-24.902
-0.445,-0.471,1.184,31.311,-134.338,-5.310
-0.571,-0.474,0.966,8.728,-36.255,34.302
-0.733,-0.381,0.719,6.897,-13.977,44.739
-0.737,-0.308,0.696,10.132,15.442,44.312
-0.664,-0.223,0.776,11.108,31.067,39.795
-0.609,-0.221,0.850,-0.305,76.538,43.274
-0.507,-0.239,0.931,-13.916,109.680,53.528
-0.465,-0.239,0.944,-47.058,193.604,71.228
-0.417,-0.232,1.061,-66.406,239.807,74.402
-0.401,-0.246,1.143,-122.192,345.764,81.909
-0.374,-0.384,1.196,-156.250,403.076,90.149
-0.409,-0.462,1.193,-202.881,511.536,98.206
-0.501,-0.539,1.052,-204.773,558.289,85.022
-0.316,-0.325,1.099,167.725,-629.822,-13.611
-0.462,-0.326,1.280,157.166,-615.662,-26.733
-0.477,-0.344,1.345,133.484,-546.265,-56.885
-0.398,-0.404,1.490,114.014,-497.620,-61.768
-0.351,-0.423,1.564,60.242,-374.573,-42.358
-0.366,-0.463,1.540,34.851,-294.678,-24.414
-0.452,-0.464,1.422,10.681,-119.324,20.630
-0.700,-0.412,1.037,13.733,-43.701,41.626
-0.786,-0.357,0.865,20.081,12.573,58.594
-0.781,-0.231,0.773,25.757,68.604,74.890
-0.716,-0.192,0.835,21.729,82.520,76.660
