aX,aY,aZ,gX,gY,gZ
-0.680,-0.059,0.808,-3.418,-15.503,6.104
-0.671,-0.027,0.834,-1.038,-13.428,6.836
-0.679,-0.025,0.833,-1.770,-10.864,7.019
-0.700,-0.040,0.818,-1.770,-10.193,6.531
-0.515,-0.196,0.773,6.348,-45.654,44.983
-0.522,-0.185,0.781,5.859,-43.457,42.480
-0.553,-0.190,0.781,4.333,-41.687,42.603
-0.572,-0.196,0.763,3.662,-36.011,41.992
-0.583,-0.204,0.754,6.104,-33.264,41.016
-0.583,-0.202,0.779,11.353,-26.672,40.161
-0.602,-0.184,0.805,11.719,-22.644,40.100
-0.614,-0.171,0.797,11.292,-15.686,38.086
-0.621,-0.145,0.792,12.390,-13.245,36.743
-0.623,-0.139,0.807,15.564,-8.606,34.424
-0.626,-0.128,0.841,15.930,-6.104,32.837
-0.624,-0.129,0.848,14.587,-4.272,30.457
-0.620,-0.187,0.861,8.484,-3.479,25.146
-0.614,-0.217,0.870,6.104,-2.991,23.743
-0.604,-0.233,0.876,6.165,1.038,23.804
-0.603,-0.226,0.869,7.202,3.113,24.475
-0.608,-0.214,0.861,7.690,5.005,23.437
-0.619,-0.200,0.835,6.409,5.127,21.362
-0.617,-0.202,0.817,2.930,2.136,16.602
-0.581,-0.219,0.802,1.465,-1.343,14.526
-0.561,-0.229,0.814,-0.122,-6.531,12.756
-0.546,-0.234,0.844,-0.671,-6.592,13.367
-0.561,-0.225,0.850,-2.686,-4.028,15.015
-0.600,-0.201,0.837,-4.517,-3.235,13.916
-0.596,-0.188,0.828,-7.385,-6.836,8.728
-0.545,-0.169,0.847,-6.775,-8.423,6.836
-0.522,-0.166,0.861,-3.479,-3.418,5.798
-0.505,-0.181,0.848,-2.563,0.610,5.798
-0.500,-0.193,0.835,-0.671,3.540,5.493
-0.490,-0.206,0.834,0.854,2.747,5.493
-0.112,-0.062,0.870,-6.714,-49.866,87.708
-0.127,-0.036,0.879,-7.507,-47.546,85.327
-0.158,-0.022,0.857,-5.676,-45.654,82.520
-0.174,-0.029,0.849,2.502,-46.875,75.439
-0.191,-0.044,0.848,4.639,-49.500,71.838
-0.196,-0.052,0.849,3.662,-54.382,66.223
-0.211,-0.059,0.866,3.723,-54.382,64.392
-0.231,-0.065,0.876,5.554,-48.706,61.279
-0.279,-0.117,0.873,5.310,-46.753,59.448
-0.290,-0.146,0.872,5.554,-45.227,56.458
-0.307,-0.171,0.883,7.202,-42.175,55.298
-0.320,-0.165,0.882,9.216,-33.203,52.917
-0.358,-0.147,0.856,8.667,-30.457,50.537
-0.374,-0.146,0.841,5.798,-31.006,41.626
-0.375,-0.155,0.813,4.089,-33.569,36.804
-0.369,-0.161,0.803,4.150,-37.292,31.067
-0.369,-0.163,0.801,7.446,-35.645,29.297
-0.379,-0.155,0.794,15.137,-29.114,26.245
-0.413,-0.143,0.767,16.418,-28.564,25.208
-0.435,-0.146,0.757,13.733,-36.682,22.095
-0.458,-0.173,0.784,10.376,-43.335,19.226
-0.463,-0.187,0.812,1.038,-53.345,14.465
-0.474,-0.196,0.853,-2.258,-54.810,14.465
-0.485,-0.184,0.861,-2.319,-50.903,18.005
-0.511,-0.144,0.846,-1.099,-48.767,18.188
-0.521,-0.126,0.837,-0.916,-51.208,14.282
-0.529,-0.104,0.847,-0.122,-53.284,12.085
-0.537,-0.098,0.862,5.188,-52.795,9.460
-0.567,-0.096,0.902,7.263,-52.002,9.033
-0.576,-0.094,0.927,7.507,-49.927,7.751
-0.339,-0.170,0.786,6.897,-40.710,46.387
-0.363,-0.198,0.768,13.550,-35.217,45.715
-0.398,-0.226,0.778,17.090,-33.691,44.983
-0.398,-0.227,0.789,17.090,-32.166,40.039
-0.370,-0.219,0.796,13.672,-33.081,36.743
-0.361,-0.216,0.797,8.728,-35.095,32.349
-0.370,-0.212,0.774,9.216,-34.668,31.494
-0.383,-0.213,0.754,13.672,-35.828,31.250
-0.415,-0.225,0.742,16.602,-37.903,31.372
-0.430,-0.234,0.760,21.606,-42.542,30.457
-0.445,-0.231,0.807,22.827,-43.945,29.114
-0.449,-0.218,0.821,23.071,-43.701,25.269
-0.454,-0.184,0.847,22.217,-43.213,23.743
-0.461,-0.172,0.860,18.005,-40.833,22.461
-0.509,-0.182,0.860,15.747,-38.940,22.034
-0.530,-0.184,0.853,14.771,-38.086,18.616
-0.519,-0.173,0.862,15.015,-39.246,15.015
-0.502,-0.168,0.874,13.672,-40.955,8.057
-0.489,-0.161,0.888,13.062,-39.917,6.470
-0.498,-0.152,0.881,15.625,-34.363,5.798
-0.530,-0.141,0.859,17.944,-31.494,4.517
-0.541,-0.153,0.849,19.470,-29.358,2.075
-0.535,-0.192,0.846,18.494,-30.701,-3.906
-0.519,-0.216,0.843,15.869,-33.203,-7.141
-0.491,-0.259,0.824,10.864,-36.133,-9.949
-0.492,-0.263,0.815,10.132,-35.461,-7.996
-0.528,-0.258,0.815,12.878,-29.663,-1.221
-0.553,-0.254,0.826,14.221,-26.611,2.136
-0.578,-0.249,0.837,14.954,-23.376,5.188
-0.597,-0.235,0.850,14.954,-23.071,4.639
-0.096,-0.224,0.837,7.263,-42.114,71.716
-0.145,-0.199,0.831,8.423,-39.734,70.923
-0.176,-0.183,0.815,11.047,-33.691,65.430
-0.229,-0.182,0.776,12.390,-33.630,60.730
-0.246,-0.189,0.766,15.625,-41.565,50.598
-0.249,-0.202,0.766,17.517,-47.241,45.532
-0.241,-0.212,0.768,22.095,-55.664,38.879
-0.227,-0.230,0.764,25.574,-57.739,37.354
-0.219,-0.232,0.769,31.006,-57.800,36.743
-0.227,-0.219,0.780,30.579,-56.580,37.903
-0.249,-0.217,0.778,28.198,-55.420,39.734
-0.317,-0.228,0.763,20.813,-54.687,43.518
-0.349,-0.241,0.750,14.465,-55.481,42.297
-0.355,-0.265,0.760,13.184,-56.152,40.955
-0.343,-0.262,0.778,12.634,-55.664,40.649
-0.355,-0.239,0.775,12.390,-49.988,42.419
-0.377,-0.230,0.762,12.451,-47.791,43.030
-0.425,-0.252,0.745,10.864,-48.096,40.771
-0.432,-0.276,0.749,9.644,-50.110,38.086
-0.424,-0.291,0.769,10.681,-54.199,33.813
-0.420,-0.285,0.821,12.878,-53.284,33.691
-0.439,-0.267,0.841,18.005,-45.776,34.546
-0.497,-0.234,0.847,19.409,-42.664,33.691
-0.511,-0.228,0.849,18.372,-44.922,28.809
-0.505,-0.238,0.893,18.066,-46.753,26.428
-0.497,-0.247,0.921,19.043,-42.419,24.353
-0.511,-0.267,0.947,18.677,-37.659,24.231
-0.529,-0.272,0.952,16.479,-28.931,22.217
-0.548,-0.284,0.953,14.282,-26.123,19.714
-0.548,-0.297,0.949,7.202,-25.269,14.648
-0.392,-0.192,0.813,19.775,-40.466,33.569
-0.363,-0.227,0.769,16.418,-41.870,32.654
-0.355,-0.241,0.751,17.639,-41.077,33.020
-0.359,-0.242,0.733,20.264,-39.673,33.386
-0.369,-0.234,0.727,21.973,-41.077,33.630
-0.391,-0.223,0.716,20.569,-44.922,32.654
-0.392,-0.227,0.725,17.029,-53.467,27.771
-0.395,-0.255,0.759,16.724,-55.298,25.757
-0.412,-0.271,0.771,19.409,-54.626,27.100
-0.448,-0.271,0.796,20.813,-53.040,28.625
-0.458,-0.259,0.804,18.799,-48.706,27.954
-0.484,-0.252,0.793,15.503,-48.340,26.123
-0.500,-0.258,0.790,12.695,-50.049,23.560
-0.521,-0.268,0.807,15.076,-49.316,23.193
-0.527,-0.264,0.817,21.301,-43.579,22.827
-0.538,-0.247,0.835,22.400,-40.833,21.790
-0.543,-0.247,0.850,18.311,-38.635,18.372
-0.555,-0.276,0.861,14.343,-37.598,16.785
-0.558,-0.293,0.848,8.301,-33.752,15.076
-0.561,-0.312,0.812,7.446,-31.677,14.771
-0.561,-0.317,0.804,8.606,-30.762,13.550
-0.553,-0.325,0.817,9.277,-31.738,12.451
-0.550,-0.325,0.829,9.949,-32.166,10.376
-0.539,-0.314,0.865,10.071,-30.945,9.399
-0.528,-0.311,0.882,7.202,-27.100,6.836
-0.519,-0.323,0.882,3.784,-25.330,5.737
-0.529,-0.334,0.864,-0.244,-22.583,5.432
-0.557,-0.345,0.842,1.099,-21.667,6.165
-0.565,-0.344,0.849,3.845,-20.752,7.141
-0.561,-0.329,0.879,8.850,-18.005,8.484
-0.406,-0.252,0.831,21.057,-33.813,33.752
-0.425,-0.250,0.834,22.644,-32.715,34.485
-0.457,-0.229,0.843,24.963,-32.471,34.546
-0.469,-0.220,0.854,27.832,-31.921,31.860
-0.511,-0.225,0.878,26.306,-31.311,29.480
-0.530,-0.234,0.881,19.409,-30.945,23.560
-0.532,-0.244,0.888,15.686,-31.860,20.630
-0.522,-0.246,0.888,11.169,-33.020,16.785
-0.516,-0.250,0.888,10.986,-32.898,15.808
-0.527,-0.257,0.886,11.108,-31.921,14.038
-0.552,-0.280,0.894,10.803,-31.311,13.123
-0.553,-0.285,0.909,12.024,-28.259,12.207
-0.535,-0.271,0.938,13.000,-25.940,12.207
-0.521,-0.260,0.940,12.207,-21.362,11.780
-0.491,-0.246,0.922,10.315,-19.531,10.681
-0.488,-0.249,0.905,5.249,-15.442,7.690
-0.491,-0.272,0.860,2.747,-13.306,6.042
-0.491,-0.286,0.835,0.122,-10.864,3.967
-0.483,-0.302,0.787,0.061,-11.047,3.296
-0.478,-0.303,0.772,0.366,-12.573,2.808
-0.465,-0.288,0.777,3.418,-16.357,1.892
-0.466,-0.279,0.790,5.066,-17.273,1.587
-0.475,-0.273,0.804,4.456,-17.578,0.366
-0.504,-0.282,0.814,2.258,-17.822,-1.038
-0.512,-0.293,0.813,-1.465,-19.897,-3.662
-0.515,-0.306,0.822,-1.587,-20.081,-4.089
-0.514,-0.303,0.830,0.183,-18.127,-3.052
-0.530,-0.293,0.847,1.221,-16.418,-2.258
-0.547,-0.291,0.858,3.418,-12.878,-1.526
-0.558,-0.281,0.885,3.845,-11.536,-2.258
-0.430,-0.212,0.819,13.489,-39.734,19.409
-0.435,-0.227,0.854,13.245,-41.016,20.020
-0.446,-0.217,0.877,18.555,-36.072,22.827
-0.491,-0.179,0.909,22.461,-31.677,23.987
-0.520,-0.166,0.914,27.405,-27.039,23.254
-0.538,-0.159,0.934,27.588,-27.832,21.118
-0.528,-0.172,0.952,22.461,-28.320,14.160
-0.489,-0.227,0.978,17.212,-26.550,11.414
-0.473,-0.253,0.967,8.057,-17.639,10.925
-0.469,-0.294,0.883,5.859,-12.329,12.207
-0.462,-0.307,0.835,5.005,-8.179,14.099
-0.438,-0.324,0.792,5.920,-10.010,14.526
-0.436,-0.331,0.797,11.292,-15.076,17.761
-0.467,-0.307,0.827,15.015,-16.479,20.386
-0.482,-0.284,0.850,17.212,-17.639,22.644
-0.502,-0.264,0.881,13.245,-18.494,21.484
-0.501,-0.266,0.881,7.324,-20.020,19.470
-0.499,-0.277,0.871,-0.183,-22.583,17.334
-0.500,-0.273,0.868,1.160,-22.217,17.700
-0.498,-0.263,0.870,6.775,-19.287,17.578
-0.496,-0.259,0.870,6.714,-18.616,16.479
-0.497,-0.264,0.869,4.028,-19.897,13.733
-0.515,-0.275,0.882,3.723,-19.958,12.756
-0.529,-0.278,0.890,3.052,-18.677,11.597
-0.530,-0.265,0.909,1.587,-18.005,10.742
-0.526,-0.262,0.906,-2.563,-15.991,9.216
-0.536,-0.274,0.890,-3.540,-14.771,8.850
-0.542,-0.281,0.891,-0.366,-11.963,9.094
-0.546,-0.266,0.917,2.197,-9.827,9.155
-0.543,-0.251,0.928,1.953,-5.676,6.409
-0.709,-0.104,0.726,-1.587,28.503,0.488
-0.715,-0.105,0.739,-1.343,32.043,0.793
-0.720,-0.108,0.735,-2.869,38.635,0.244
-0.724,-0.119,0.727,-4.028,40.771,0.061
-0.725,-0.127,0.726,-5.554,45.532,0.488
-0.734,-0.142,0.711,-5.188,48.462,1.404
-0.737,-0.141,0.704,-1.770,53.406,2.930
-0.728,-0.127,0.705,0.366,55.664,2.380
-0.717,-0.120,0.708,2.319,61.401,-0.916
-0.686,-0.113,0.697,1.709,64.270,-2.563
-0.674,-0.118,0.682,0.854,65.430,-3.967
-0.662,-0.121,0.669,2.502,63.293,-4.028
-0.654,-0.113,0.681,6.104,60.791,-4.639
-0.625,-0.098,0.730,15.015,59.082,-7.690
-0.604,-0.095,0.753,17.517,60.547,-9.094
-0.567,-0.100,0.785,16.602,64.270,-11.230
-0.565,-0.108,0.792,14.282,65.857,-11.719
-0.575,-0.115,0.794,10.376,67.261,-13.855
-0.578,-0.116,0.799,10.742,65.796,-15.930
-0.563,-0.102,0.819,15.564,61.829,-21.179
-0.530,-0.083,0.859,17.517,61.035,-25.146
-0.507,-0.081,0.872,11.047,57.983,-30.579
-0.472,-0.088,0.878,4.639,57.312,-32.715
-0.464,-0.082,0.855,-2.441,60.181,-37.170
-0.443,-0.064,0.822,-0.854,59.448,-39.917
-0.428,-0.063,0.841,4.211,50.171,-44.678
-0.419,-0.084,0.931,4.883,46.326,-46.265
-0.423,-0.100,0.965,1.587,47.607,-48.584
-0.436,-0.117,0.991,-1.404,50.598,-49.500
-0.437,-0.109,1.006,-3.174,55.847,-52.307
-0.598,-0.230,0.729,-2.625,2.625,0.977
-0.588,-0.227,0.731,-3.540,0.916,0.488
-0.593,-0.232,0.725,-4.150,-2.075,-0.183
-0.594,-0.230,0.731,-2.563,-2.991,0.061
-0.587,-0.218,0.747,0.671,-1.953,1.282
-0.570,-0.198,0.766,1.038,-0.549,1.526
-0.565,-0.200,0.769,-1.099,1.587,1.404
-0.580,-0.220,0.758,-2.808,2.258,1.648
-0.596,-0.231,0.745,-4.211,2.319,1.770
-0.603,-0.239,0.744,-4.272,-0.610,1.038
-0.599,-0.240,0.757,-2.808,-2.258,0.732
-0.601,-0.238,0.776,0.488,-2.136,2.258
-0.606,-0.231,0.780,1.038,-0.854,3.357
-0.607,-0.222,0.783,-0.427,1.282,3.662
-0.606,-0.211,0.781,-2.197,2.014,3.174
-0.611,-0.212,0.778,-5.676,4.150,2.380
-0.626,-0.214,0.768,-6.409,5.371,2.136
-0.629,-0.213,0.759,-4.944,6.287,1.587
-0.615,-0.204,0.754,-3.296,5.615,0.732
-0.603,-0.199,0.765,-0.916,4.211,-1.282
-0.597,-0.195,0.774,-1.160,4.272,-1.953
-0.599,-0.199,0.769,-2.930,4.028,-2.747
-0.597,-0.209,0.767,-3.479,3.784,-2.930
-0.594,-0.212,0.768,-3.845,4.150,-2.808
-0.594,-0.217,0.765,-3.540,4.333,-2.563
-0.591,-0.216,0.765,-2.319,4.028,-2.502
-0.588,-0.215,0.775,-2.136,3.906,-2.747
-0.586,-0.218,0.780,-3.540,4.028,-3.479
-0.586,-0.228,0.773,-4.700,4.272,-3.540
-0.587,-0.232,0.764,-4.761,4.089,-2.930
-0.761,-0.188,0.767,24.719,-39.063,40.955
-0.748,-0.194,0.767,19.104,-38.330,33.569
-0.735,-0.204,0.767,13.245,-38.330,26.245
-0.723,-0.216,0.762,11.902,-36.743,24.658
-0.726,-0.217,0.750,12.085,-31.799,24.536
-0.734,-0.209,0.743,13.428,-29.785,25.330
-0.741,-0.213,0.749,14.954,-27.222,26.001
-0.774,-0.229,0.754,15.015,-20.813,26.123
-0.790,-0.234,0.748,13.184,-18.799,24.963
-0.787,-0.241,0.733,8.606,-18.066,19.531
-0.771,-0.244,0.732,7.080,-18.616,16.968
-0.756,-0.243,0.733,5.920,-17.395,14.832
-0.752,-0.232,0.731,6.348,-15.015,14.404
-0.756,-0.228,0.725,7.996,-9.277,11.597
-0.751,-0.232,0.717,8.484,-7.812,9.521
-0.743,-0.239,0.720,7.202,-7.507,5.493
-0.737,-0.252,0.721,5.859,-8.118,3.845
-0.737,-0.260,0.725,4.456,-8.606,1.770
-0.738,-0.271,0.741,4.456,-7.874,1.526
-0.735,-0.272,0.745,4.456,-3.662,2.075
-0.721,-0.265,0.734,3.906,-1.282,2.136
-0.707,-0.259,0.726,1.221,1.404,-0.061
-0.683,-0.261,0.713,-0.610,1.343,-2.136
-0.681,-0.274,0.708,-2.380,-0.610,-5.005
-0.683,-0.294,0.709,-1.343,-1.099,-5.005
-0.679,-0.291,0.712,2.991,0.244,-3.418
-0.657,-0.265,0.725,4.395,1.221,-3.357
-0.646,-0.258,0.729,4.089,1.648,-4.211
-0.629,-0.269,0.723,-1.587,1.038,-7.324
-0.624,-0.281,0.712,-5.005,0.549,-8.240
-0.616,-0.203,0.706,11.841,-45.410,48.340
-0.629,-0.206,0.712,10.742,-46.143,47.791
-0.644,-0.206,0.738,9.827,-43.884,43.579
-0.652,-0.207,0.753,8.789,-41.382,40.955
-0.663,-0.209,0.759,5.676,-35.828,36.621
-0.690,-0.209,0.734,4.700,-34.668,34.851
-0.700,-0.203,0.724,5.676,-35.950,31.006
-0.699,-0.187,0.728,7.141,-36.499,29.175
-0.697,-0.184,0.735,9.705,-35.706,27.649
-0.702,-0.168,0.744,11.414,-33.569,27.527
-0.707,-0.160,0.747,13.977,-26.794,26.611
-0.711,-0.157,0.752,13.245,-23.987,25.574
-0.717,-0.165,0.746,8.789,-20.752,22.949
-0.728,-0.182,0.720,6.958,-20.569,21.606
-0.730,-0.188,0.712,7.568,-21.545,19.043
-0.731,-0.192,0.720,9.521,-21.973,17.944
-0.725,-0.189,0.730,12.146,-22.522,16.052
-0.709,-0.192,0.748,11.780,-22.522,15.259
-0.709,-0.197,0.749,8.606,-20.874,13.733
-0.724,-0.202,0.736,7.019,-20.447,12.512
-0.727,-0.200,0.740,5.737,-20.752,9.216
-0.718,-0.208,0.758,5.676,-20.447,7.690
-0.714,-0.218,0.761,5.127,-18.799,5.859
-0.705,-0.237,0.758,5.005,-17.456,5.676
-0.703,-0.242,0.755,5.249,-15.686,5.798
-0.711,-0.250,0.758,5.493,-11.047,6.165
-0.718,-0.252,0.757,5.066,-8.423,5.859
-0.724,-0.253,0.751,2.686,-4.944,4.089
-0.712,-0.254,0.739,1.648,-4.517,2.869
-0.699,-0.255,0.742,1.160,-3.052,1.221
-0.592,-0.245,0.791,5.859,-49.805,22.217
-0.603,-0.229,0.834,8.789,-44.922,23.071
-0.621,-0.226,0.831,10.803,-32.776,24.780
-0.662,-0.237,0.787,9.827,-29.236,24.658
-0.666,-0.250,0.776,6.775,-29.053,22.766
-0.648,-0.278,0.779,5.554,-29.419,21.973
-0.642,-0.285,0.777,5.005,-26.672,21.912
-0.646,-0.284,0.762,5.859,-24.048,22.339
-0.651,-0.278,0.755,8.118,-20.447,22.949
-0.662,-0.262,0.760,8.423,-20.081,22.583
-0.664,-0.252,0.769,7.080,-20.935,19.897
-0.665,-0.239,0.785,6.165,-21.484,18.066
-0.665,-0.242,0.789,4.883,-21.790,13.489
-0.648,-0.259,0.797,4.700,-21.912,11.353
-0.634,-0.264,0.808,4.822,-21.667,10.132
-0.629,-0.265,0.828,5.676,-17.456,10.010
-0.642,-0.262,0.828,5.676,-13.977,10.132
-0.658,-0.259,0.822,3.540,-8.423,8.057
-0.660,-0.255,0.806,1.709,-7.446,5.554
-0.640,-0.259,0.802,-0.366,-8.179,0.366
-0.598,-0.278,0.802,0.061,-8.362,-0.854
-0.590,-0.286,0.802,2.136,-6.226,-0.305
-0.586,-0.292,0.807,2.930,-4.578,0.366
-0.590,-0.292,0.812,2.197,-1.465,0.305
-0.600,-0.293,0.815,0.854,-0.244,-0.488
-0.597,-0.295,0.812,-1.831,1.282,-1.831
-0.580,-0.297,0.799,-2.625,1.770,-2.014
-0.576,-0.295,0.792,-2.136,3.662,-1.160
-0.581,-0.286,0.773,-1.099,4.944,-0.793
-0.582,-0.283,0.765,0.854,5.554,-1.404
-0.496,-0.229,0.810,10.681,-51.270,20.386
-0.513,-0.228,0.810,9.216,-46.448,19.226
-0.545,-0.232,0.795,8.728,-44.983,18.250
-0.555,-0.235,0.794,9.277,-45.166,15.991
-0.562,-0.246,0.812,9.705,-45.227,14.893
-0.564,-0.254,0.816,8.362,-42.664,13.306
-0.566,-0.275,0.802,6.287,-41.321,12.756
-0.565,-0.286,0.794,2.869,-39.368,12.695
-0.570,-0.299,0.785,2.686,-38.635,13.489
-0.572,-0.292,0.791,4.578,-35.767,15.686
-0.574,-0.263,0.794,5.188,-33.508,16.541
-0.578,-0.250,0.788,5.005,-31.677,16.907
-0.594,-0.242,0.772,2.930,-31.250,15.625
-0.601,-0.244,0.771,2.136,-31.799,14.587
-0.612,-0.244,0.781,1.953,-30.579,13.123
-0.616,-0.244,0.785,2.258,-28.748,12.634
-0.626,-0.240,0.783,2.258,-24.597,12.207
-0.630,-0.238,0.778,1.770,-22.644,11.841
-0.635,-0.239,0.772,0.854,-20.081,11.169
-0.649,-0.252,0.759,1.465,-18.799,11.108
-0.661,-0.258,0.757,5.005,-14.832,11.230
-0.677,-0.253,0.771,6.348,-12.329,10.864
