aX,aY,aZ,gX,gY,gZ
1.005,-0.032,-0.031,8.423,67.505,45.044
0.997,-0.022,-0.050,8.850,70.862,44.800
0.961,-0.020,-0.119,4.517,66.223,47.241
0.949,-0.015,-0.138,1.221,47.058,53.467
0.952,0.017,-0.091,1.953,39.612,55.847
0.954,0.042,-0.066,-0.061,38.269,60.364
0.929,0.110,-0.075,-1.038,41.687,61.096
0.902,0.147,-0.096,1.526,47.729,52.612
0.862,0.173,-0.163,4.028,46.631,44.922
0.856,0.170,-0.193,12.207,32.654,32.593
0.864,0.176,-0.159,16.602,23.376,28.992
0.881,0.183,-0.103,17.822,17.395,26.794
0.862,0.222,-0.107,4.761,18.738,28.442
0.832,0.255,-0.140,-3.906,18.188,28.442
0.818,0.274,-0.156,-9.766,8.484,13.916
0.843,0.242,-0.172,-6.531,4.944,3.357
0.862,0.217,-0.163,5.920,4.028,-10.071
0.884,0.201,-0.096,8.057,6.775,-13.000
0.883,0.203,-0.091,-6.653,10.986,-17.395
0.901,0.167,-0.147,-16.785,7.996,-19.348
0.916,0.143,-0.167,-19.592,1.648,-22.095
0.929,0.121,-0.182,-14.282,1.221,-23.315
0.939,0.110,-0.168,-6.836,1.587,-24.658
0.975,0.076,-0.146,-8.240,2.380,-22.644
0.983,0.063,-0.157,-18.250,-0.488,-10.559
0.974,0.061,-0.167,-22.949,-4.639,-2.380
0.966,0.074,-0.168,-26.306,-12.756,8.850
1.013,-0.029,0.192,-15.015,63.721,22.766
1.017,-0.018,0.178,-11.047,60.730,23.315
1.021,-0.009,0.185,-6.897,54.260,23.743
1.046,-0.019,0.197,-7.385,52.795,23.499
1.064,-0.038,0.196,-11.475,52.124,26.428
1.064,-0.059,0.153,-13.367,52.429,29.602
1.055,-0.060,0.114,-9.277,45.532,34.607
1.042,-0.031,0.092,-2.502,40.100,35.400
1.038,-0.014,0.106,9.766,34.668,32.654
1.047,-0.014,0.139,11.780,36.072,31.738
1.036,-0.007,0.132,10.376,39.734,33.386
0.994,0.040,0.089,5.066,45.410,36.438
0.981,0.057,0.068,6.287,45.959,34.119
0.970,0.068,0.055,14.404,41.504,27.954
0.960,0.074,0.082,16.541,36.438,26.733
0.968,0.079,0.118,12.024,30.457,29.297
0.974,0.111,0.146,8.362,32.593,30.518
0.960,0.133,0.124,6.226,40.955,26.672
0.926,0.152,0.079,7.263,43.152,21.912
0.923,0.140,0.073,10.437,47.424,12.573
0.922,0.115,0.040,10.315,50.049,10.498
0.917,0.110,0.014,8.606,51.697,9.766
0.907,0.108,-0.013,3.845,50.964,8.423
0.904,0.108,-0.015,1.709,49.438,6.287
0.914,0.099,-0.016,-5.249,49.316,2.075
0.908,0.077,-0.089,-7.996,47.913,1.831
0.903,0.076,-0.117,-2.502,37.170,0.671
0.911,0.102,-0.103,2.869,31.433,-1.648
0.927,0.115,-0.072,6.042,26.184,-5.920
0.936,0.124,-0.053,2.930,28.809,-6.714
0.848,-0.084,0.673,-15.747,178.833,10.315
0.866,-0.096,0.634,-19.592,158.997,12.390
0.899,-0.109,0.568,-15.076,152.832,12.634
0.914,-0.105,0.559,-5.615,145.386,12.085
0.946,-0.094,0.570,-8.179,144.226,12.695
0.942,-0.095,0.526,-21.973,139.648,15.320
0.947,-0.116,0.417,-26.062,131.104,16.846
0.961,-0.123,0.395,-25.391,109.253,23.743
0.994,-0.095,0.424,-23.804,103.088,27.283
0.989,-0.073,0.419,-24.658,104.492,28.748
0.973,-0.052,0.320,-26.672,103.149,27.405
0.978,-0.048,0.280,-33.081,86.609,29.724
0.993,-0.034,0.247,-34.912,78.247,31.250
0.996,-0.033,0.241,-26.489,75.256,25.696
0.984,-0.036,0.197,-19.714,77.454,21.912
0.977,-0.035,0.146,-14.954,66.711,25.513
0.976,0.003,0.105,-14.221,53.589,31.067
0.973,0.038,0.131,-10.986,42.480,33.447
0.979,0.057,0.167,-0.427,38.879,23.437
1.009,0.036,0.190,2.686,45.410,17.700
1.014,0.021,0.151,3.967,58.350,17.212
1.004,0.008,0.063,4.089,56.824,20.386
1.000,0.007,0.048,5.127,43.396,25.208
0.996,-0.006,0.048,5.981,36.743,25.024
1.007,-0.023,0.072,5.615,32.104,23.132
1.019,-0.051,0.062,2.869,34.668,24.902
1.012,-0.049,0.037,-0.916,34.546,32.898
0.998,-0.028,0.022,-0.366,32.715,36.804
0.988,-0.016,0.011,1.465,31.372,40.161
0.956,0.037,0.009,6.409,29.785,44.250
0.785,-0.084,0.713,1.831,184.204,12.207
0.792,-0.078,0.673,7.385,182.068,4.700
0.828,-0.086,0.587,6.714,175.293,3.357
0.867,-0.099,0.566,3.662,156.921,5.066
0.971,-0.119,0.598,0.061,151.917,8.484
0.998,-0.120,0.593,-12.390,153.748,16.357
0.993,-0.103,0.494,-14.648,154.846,16.724
0.997,-0.097,0.438,-8.179,148.743,9.644
1.033,-0.121,0.346,-6.226,141.113,8.545
1.049,-0.140,0.307,-12.756,117.187,19.226
1.070,-0.143,0.296,-18.250,106.323,27.222
1.068,-0.121,0.293,-21.484,101.379,32.776
1.040,-0.077,0.223,-18.005,106.567,32.593
1.021,-0.064,0.168,-15.259,107.666,30.212
1.014,-0.063,0.123,-15.625,92.834,28.687
1.034,-0.092,0.075,-18.494,80.200,31.616
1.049,-0.098,0.079,-19.897,58.838,41.626
1.083,-0.059,0.126,-17.639,54.443,45.349
1.088,-0.032,0.136,-15.747,53.101,48.096
1.075,-0.016,0.093,-17.944,49.927,48.645
1.069,-0.020,0.063,-16.479,36.377,48.279
1.069,-0.036,0.071,-9.216,32.471,45.105
1.069,-0.050,0.087,2.502,39.246,35.767
1.055,-0.077,0.054,1.648,44.373,33.875
1.035,-0.078,0.014,-3.723,45.654,37.292
0.977,-0.034,-0.034,-3.784,41.565,38.940
0.949,-0.007,-0.036,-2.441,36.621,37.354
0.928,-0.011,-0.047,-2.136,24.658,28.320
0.946,-0.016,-0.006,-4.211,18.250,27.710
0.953,-0.001,0.025,-9.583,24.780,35.095
0.987,-0.134,0.005,1.648,85.083,33.203
0.982,-0.137,-0.002,2.441,76.538,34.912
0.980,-0.142,-0.017,8.545,64.758,32.959
0.977,-0.157,-0.058,12.695,59.204,32.349
0.979,-0.168,-0.071,14.038,41.504,38.330
0.984,-0.170,-0.086,8.484,30.090,45.410
0.978,-0.155,-0.099,-2.686,8.545,57.373
0.971,-0.114,-0.083,-0.732,2.258,58.105
0.969,-0.091,-0.060,14.282,3.967,50.720
0.975,-0.067,-0.039,17.517,6.165,47.852
0.976,-0.059,-0.044,9.888,3.418,51.575
0.964,-0.021,-0.047,5.859,0.122,54.504
0.957,0.010,-0.030,8.118,-1.587,52.612
0.937,0.062,0.009,10.681,0.610,48.096
0.935,0.071,0.015,11.108,2.991,43.274
0.949,0.086,0.021,5.310,6.104,38.025
0.952,0.102,0.016,1.709,8.362,37.415
0.951,0.124,0.006,-2.808,10.986,35.095
0.950,0.145,-0.012,-3.479,10.193,31.982
0.952,0.138,-0.029,2.502,8.545,23.804
0.945,0.135,-0.021,7.263,8.362,20.508
0.944,0.143,0.004,7.874,12.451,16.113
0.941,0.150,0.004,2.319,14.893,14.771
0.945,0.138,-0.019,-12.207,13.367,13.184
0.968,0.114,-0.062,-15.991,11.230,13.367
