aX,aY,aZ,gX,gY,gZ
-1.207,-0.904,-0.281,328.552,74.402,-204.529
-1.227,-2.026,1.453,-2.136,-164.185,-169.617
0.006,0.056,1.010,0.549,-1.282,1.587
0.009,0.056,1.016,0.977,0.793,1.709
0.011,0.054,1.001,0.061,1.953,2.075
0.011,0.052,0.991,-1.343,1.587,2.197
0.014,0.050,0.991,-1.343,0.427,1.892
0.018,0.049,1.006,-2.197,-2.136,2.197
0.013,0.048,1.012,-2.747,-1.587,3.540
-0.004,0.049,1.004,-1.709,-0.061,4.089
-0.010,0.052,0.996,2.930,2.380,3.357
-0.007,0.058,1.001,4.822,2.930,2.319
0.000,0.057,1.006,4.700,3.235,0.916
0.009,0.049,1.014,2.808,2.869,0.793
0.009,0.047,1.011,-1.648,1.526,1.404
0.009,0.044,1.001,-2.869,0.671,1.892
0.009,0.043,0.993,-2.014,0.610,2.808
0.004,0.044,0.979,-0.244,1.465,2.991
0.001,0.046,0.979,3.296,2.747,1.648
0.004,0.044,0.984,3.723,2.258,0.183
0.019,0.034,0.996,1.831,-0.305,-1.892
0.024,0.025,0.994,-1.282,-1.099,-0.122
0.019,0.018,0.968,-1.587,-0.854,1.404
0.013,0.024,0.958,0.916,-0.671,2.319
0.005,0.028,0.966,2.747,-1.343,1.404
0.004,0.026,0.979,6.714,-2.319,-0.366
0.003,0.027,1.003,8.301,-1.465,-0.305
0.003,0.031,1.013,7.385,2.075,2.136
-0.005,0.041,1.007,4.639,3.784,3.723
-0.012,0.042,0.985,0.977,4.761,3.601
-0.015,0.039,0.948,1.770,4.028,2.258
-0.007,0.034,0.942,5.432,2.869,0.061
-0.012,0.039,1.038,-5.737,0.000,1.587
-0.023,0.038,1.011,-6.653,0.916,2.136
-0.026,0.040,1.000,-5.188,0.854,1.587
-0.022,0.049,1.000,-3.662,0.610,0.793
-0.018,0.051,1.004,-2.197,1.160,-0.427
-0.010,0.052,1.000,-2.869,1.648,-0.427
-0.008,0.052,0.989,-5.554,2.197,0.427
-0.005,0.050,0.971,-6.470,1.770,0.854
-0.004,0.050,0.968,-6.104,0.549,1.221
-0.005,0.055,0.965,-4.639,0.427,1.160
-0.006,0.058,0.966,-0.977,0.366,1.099
-0.010,0.063,0.970,0.732,0.061,1.038
-0.009,0.064,0.977,2.014,-1.099,0.488
-0.006,0.062,0.990,1.282,-1.282,0.549
-0.011,0.057,0.981,-0.977,-1.160,1.099
-0.015,0.055,0.977,-0.122,-2.319,1.221
-0.017,0.052,0.992,1.587,-3.113,0.732
-0.014,0.051,1.008,3.540,-3.784,-0.122
-0.013,0.043,1.036,2.625,-3.601,0.244
-0.016,0.039,1.040,-0.610,-2.258,1.709
-0.030,0.044,1.040,-1.282,-1.343,2.197
-0.033,0.046,1.044,-2.014,-1.099,1.831
-0.035,0.045,1.065,-3.357,-1.709,1.221
-0.036,0.043,1.069,-6.714,-3.174,-0.427
-0.037,0.040,1.077,-8.057,-4.150,-1.099
-0.039,0.043,1.097,-10.071,-5.432,-1.404
-0.039,0.044,1.095,-11.963,-5.066,-1.282
-0.039,0.052,1.067,-12.451,-5.432,-1.404
-0.033,0.060,1.050,-9.888,-9.460,-3.235
-0.009,0.088,1.034,-7.385,-13.062,-4.211
-0.005,0.138,1.018,8.667,-4.395,-0.488
-0.003,0.136,1.027,9.277,-5.920,-0.671
0.003,0.132,1.053,10.742,-6.775,-0.061
0.002,0.131,1.067,11.292,-6.104,0.977
-0.003,0.143,1.091,13.672,-4.700,3.113
-0.002,0.151,1.105,15.625,-4.333,3.357
0.011,0.146,1.117,18.616,-4.517,2.441
0.021,0.134,1.115,18.494,-7.019,1.831
0.037,0.093,1.133,15.686,-19.287,0.305
0.049,0.063,1.154,15.869,-35.400,-0.549
0.072,-0.007,1.219,18.555,-40.466,0.977
0.070,-0.033,1.257,24.475,-42.175,7.812
0.041,-0.085,1.312,25.208,-42.358,10.498
0.029,-0.120,1.326,21.545,-47.302,12.878
0.013,-0.220,1.309,19.226,-49.744,13.794
-0.007,-0.305,1.229,18.921,-45.593,18.066
-0.026,-0.314,1.162,19.104,-39.307,21.057
-0.068,-0.303,0.972,11.230,-32.410,20.935
-0.078,-0.332,0.854,-10.925,-39.246,2.991
-0.071,-0.477,0.582,-27.283,-40.405,-7.080
-0.073,-0.516,0.409,-50.598,0.732,-12.451
-0.122,-0.340,-0.255,-45.105,54.565,-3.601
-0.203,-0.121,-0.874,-19.104,184.998,48.157
-0.582,0.654,-2.397,-8.057,216.187,85.876
-1.074,1.484,-3.184,48.340,191.223,101.501
-1.165,1.641,-3.115,112.305,164.246,52.368
-1.205,1.458,-2.255,283.020,149.902,-64.697
-1.422,1.425,-1.669,406.860,252.991,-94.727
-1.950,1.391,-0.978,396.301,325.012,-121.277
-1.838,1.043,-0.948,140.259,264.587,-233.459
0.029,0.204,0.951,3.723,1.953,-1.282
0.028,0.204,0.958,8.728,1.221,-1.160
0.019,0.203,0.964,10.925,1.160,-1.099
0.015,0.198,0.963,13.855,0.610,-1.831
0.013,0.184,0.978,14.160,-0.549,-2.136
0.012,0.170,1.014,11.841,-3.540,-2.502
0.013,0.163,1.031,6.714,-5.188,-2.441
0.011,0.150,1.052,3.967,-4.761,-1.648
0.007,0.145,1.049,0.244,-0.854,-0.427
0.003,0.136,1.032,-0.366,1.099,-0.732
0.013,0.133,1.028,-1.160,2.258,-2.625
0.022,0.135,1.031,-1.892,2.319,-3.357
0.030,0.147,1.030,-4.517,4.517,-2.258
0.029,0.152,1.019,-8.606,9.216,0.427
0.027,0.161,0.985,-10.254,10.498,1.404
0.026,0.163,0.965,-10.071,9.460,1.160
0.028,0.163,0.941,-7.629,7.141,0.061
0.035,0.162,0.949,-2.014,1.709,-1.892
0.048,0.161,0.983,-1.587,0.366,-1.709
0.046,0.162,0.985,-3.113,0.732,0.366
0.034,0.165,0.975,-2.808,1.038,1.343
0.029,0.167,0.980,0.122,1.099,2.563
0.022,0.170,0.998,1.404,1.465,2.991
0.020,0.176,1.010,2.563,0.671,2.747
0.021,0.178,1.021,2.747,-1.160,2.136
0.028,0.169,1.043,2.930,-4.578,0.427
0.028,0.164,1.058,3.845,-5.249,0.916
0.011,0.172,1.101,5.798,-3.601,2.197
0.006,0.175,1.119,12.512,3.784,4.456
0.014,0.172,1.147,14.832,7.446,5.432
0.010,0.042,1.156,24.780,15.442,-12.817
0.048,0.036,1.189,22.095,14.648,-14.526
0.065,0.036,1.195,16.418,16.663,-15.686
0.088,0.040,1.183,12.512,18.066,-15.198
0.097,0.039,1.176,2.625,16.785,-13.367
0.125,0.034,1.171,-2.197,14.038,-12.207
0.135,0.034,1.167,-8.789,8.789,-9.521
0.131,0.051,1.145,-8.789,6.897,-8.484
0.135,0.081,1.140,-1.282,5.066,-7.751
0.148,0.089,1.151,3.662,5.859,-6.714
0.181,0.096,1.161,2.258,5.737,-5.859
0.194,0.097,1.154,-4.700,-1.038,-5.127
0.224,0.077,1.152,-7.629,-9.277,-5.859
0.242,0.053,1.179,-11.169,-31.616,-6.775
0.265,-0.014,1.276,-12.390,-40.833,-4.822
0.249,-0.049,1.354,-12.573,-45.288,4.944
0.234,-0.052,1.372,-11.658,-42.419,10.498
0.219,-0.062,1.356,-11.353,-38.635,17.761
0.216,-0.080,1.327,-19.409,-41.809,22.827
0.195,-0.126,1.239,-25.574,-43.640,26.001
0.181,-0.146,1.177,-34.607,-41.382,31.250
0.149,-0.176,1.015,-36.926,-38.513,31.372
0.143,-0.191,0.907,-42.725,-38.391,23.865
0.153,-0.258,0.670,-48.828,-44.800,18.982
0.175,-0.390,0.483,-62.866,-63.049,16.052
0.176,-0.433,0.392,-60.669,-43.030,35.522
0.123,-0.330,0.059,-44.250,-0.854,55.176
0.023,-0.182,-0.251,11.902,129.028,105.530
-0.298,0.303,-1.131,38.452,176.025,127.869
-0.503,0.648,-1.544,70.740,165.771,126.343
0.012,0.219,0.940,8.423,-0.549,1.587
0.013,0.213,0.943,14.038,0.000,-0.549
0.024,0.201,0.938,15.686,1.404,-0.916
0.029,0.195,0.920,17.456,4.395,-0.610
0.034,0.184,0.873,18.921,4.761,-0.549
0.037,0.183,0.859,24.475,3.479,-1.099
0.051,0.183,0.852,27.954,2.075,-1.709
0.057,0.178,0.858,34.790,-3.906,-2.625
0.065,0.168,0.908,37.598,-8.972,-2.625
0.063,0.166,0.948,41.382,-19.348,-1.099
0.040,0.156,1.035,43.884,-22.827,0.305
0.029,0.148,1.091,51.147,-27.588,3.113
0.023,0.116,1.223,54.260,-30.518,3.723
0.028,0.088,1.296,56.396,-40.161,4.028
0.030,0.011,1.440,54.871,-44.617,5.005
0.023,-0.072,1.529,48.584,-47.241,8.423
0.015,-0.128,1.563,45.532,-46.082,10.986
0.015,-0.218,1.611,42.664,-34.546,17.944
0.030,-0.231,1.594,29.724,-11.841,25.574
0.054,-0.243,1.428,12.695,-2.075,29.053
0.058,-0.275,1.283,-31.555,5.981,27.527
0.057,-0.383,0.945,-50.964,7.141,25.024
0.045,-0.413,0.780,-73.364,19.653,25.696
0.059,-0.371,0.399,-72.998,34.607,27.344
0.168,-0.189,-0.198,-45.471,83.679,38.757
0.123,0.025,-0.677,-6.836,157.410,79.651
-0.187,0.757,-2.012,-6.409,157.654,91.858
-0.369,1.106,-2.532,-32.959,17.761,35.828
-0.277,1.073,-2.598,-21.301,-74.219,-24.841
-0.090,0.812,-2.175,127.625,-121.765,-72.998
0.080,-0.017,1.243,16.724,-17.822,11.108
0.075,-0.028,1.250,16.235,-15.503,13.245
0.077,-0.035,1.250,19.653,-15.564,15.930
0.089,-0.084,1.264,24.963,-16.968,17.090
0.087,-0.113,1.262,39.063,-11.658,22.034
0.082,-0.151,1.183,45.288,-5.676,24.414
0.076,-0.164,1.129,55.054,2.014,29.968
0.048,-0.153,1.033,56.885,3.296,32.593
0.031,-0.133,0.969,46.509,0.427,28.259
0.038,-0.106,0.760,32.654,-6.836,21.362
0.128,-0.159,0.419,-1.953,-27.161,9.338
0.128,-0.192,0.198,0.305,6.653,35.583
-0.192,0.032,-0.597,35.706,74.585,64.697
-0.414,0.429,-1.244,163.330,221.069,109.802
-0.978,1.545,-2.304,206.848,220.459,112.732
-1.240,1.941,-2.334,210.083,88.745,24.292
-1.207,1.771,-1.846,221.802,47.607,-48.767
-1.076,1.304,-1.114,333.862,93.384,-110.229
-1.135,1.297,-0.719,401.245,159.546,-106.018
-1.327,1.329,-0.322,416.260,299.072,-124.573
-1.289,1.121,-0.296,140.747,258.423,-199.280
-0.989,-0.002,-0.002,-68.115,139.160,-218.323
-0.816,-1.005,0.153,-437.622,-114.258,-130.676
-0.200,-3.674,0.237,-539.978,-196.655,-20.081
0.649,-4.000,1.016,-426.636,-262.817,203.003
1.769,-3.343,3.367,-243.530,-229.126,222.229
1.172,-2.328,3.956,36.011,-192.017,178.345
0.972,-1.679,4.000,129.028,-216.797,167.541
1.682,0.516,4.000,133.301,-42.969,7.568
2.095,1.505,3.997,-63.904,159.546,-280.518
0.096,0.200,0.967,2.991,-1.526,-2.014
0.102,0.193,0.997,3.052,-1.770,-1.770
0.106,0.193,0.997,0.549,-0.488,0.061
0.106,0.197,0.975,-0.916,0.244,1.160
0.104,0.195,0.962,-0.977,0.366,2.686
0.094,0.188,0.961,0.305,-0.549,3.052
0.092,0.186,0.973,2.686,-2.319,3.052
0.089,0.186,0.988,3.235,-2.441,2.747
0.089,0.187,0.992,3.113,-1.892,2.869
0.082,0.193,0.999,2.686,-1.953,3.113
0.076,0.196,0.999,2.686,-1.770,3.296
0.066,0.202,1.002,3.052,-1.709,3.235
0.064,0.207,1.006,2.869,-0.916,2.930
0.062,0.217,1.000,2.075,-0.244,2.441
0.062,0.220,0.995,-0.122,-0.244,1.221
0.061,0.218,0.987,-0.854,-0.671,0.427
0.064,0.212,0.992,-0.122,-1.160,-1.465
0.067,0.209,1.003,0.610,-0.488,-2.441
0.070,0.202,1.007,0.305,0.610,-2.502
0.071,0.198,1.003,-0.732,1.648,-2.625
0.076,0.194,0.992,-1.282,1.221,-2.991
0.088,0.193,0.995,-1.892,-0.244,-3.296
0.091,0.192,0.998,-2.136,0.061,-2.808
0.088,0.190,0.991,-1.770,0.488,-2.563
0.086,0.188,0.989,-0.671,0.427,-2.502
0.085,0.189,0.995,-0.427,0.000,-2.380
0.086,0.190,0.997,-1.465,0.061,-2.075
0.091,0.190,0.988,-2.563,0.488,-1.953
0.092,0.188,0.980,-3.845,0.671,-2.197
0.095,0.179,0.974,-3.967,0.244,-2.258
0.004,0.196,0.975,-3.174,4.333,1.404
0.002,0.199,0.971,-0.854,1.770,0.183
0.009,0.198,0.984,0.244,0.793,-0.610
0.016,0.194,0.987,0.122,-0.488,-1.892
0.023,0.187,0.986,-0.244,-1.160,-1.892
0.023,0.186,0.988,-0.366,-1.465,-0.427
0.022,0.187,0.992,-0.305,-0.854,0.488
0.022,0.189,0.995,-1.099,0.793,2.747
0.023,0.190,0.986,-1.770,1.953,3.540
0.021,0.187,0.965,-2.747,2.991,4.700
0.017,0.186,0.963,-1.770,1.831,5.249
0.010,0.185,0.966,-0.977,1.099,5.371
0.008,0.189,0.968,0.793,-0.427,4.395
0.010,0.192,0.973,1.648,-1.221,3.601
0.011,0.190,0.967,3.601,-1.831,2.502
0.012,0.189,0.952,4.883,-1.648,2.380
0.013,0.191,0.952,7.507,-1.343,2.380
0.020,0.190,0.959,8.423,-1.526,2.502
0.021,0.187,0.968,10.193,-3.540,3.235
0.021,0.184,0.999,10.864,-5.127,3.662
0.009,0.191,1.036,13.794,-8.484,4.822
0.007,0.198,1.057,20.752,-9.399,7.141
0.015,0.189,1.099,24.597,-9.766,8.240
0.018,0.167,1.118,31.555,-13.977,10.254
0.016,0.117,1.166,34.790,-17.212,10.498
0.020,0.095,1.193,38.757,-25.146,8.484
0.031,0.031,1.240,38.879,-29.663,7.080
0.034,-0.010,1.250,37.231,-35.950,6.409
0.036,-0.071,1.236,35.706,-36.621,7.263
0.036,-0.093,1.213,29.053,-35.156,9.521
0.045,0.028,0.578,-11.902,5.859,2.075
0.071,-0.009,0.426,-15.198,12.878,-0.854
0.058,-0.026,0.025,-10.681,45.654,0.244
0.003,0.038,-0.283,4.211,77.759,4.456
-0.244,0.277,-1.191,47.485,136.963,18.555
-0.423,0.453,-1.644,82.275,82.947,32.410
-0.722,0.889,-1.986,111.816,30.334,21.301
-0.796,1.065,-1.905,231.384,14.709,-37.048
-0.973,1.226,-1.608,307.739,55.420,-59.143
-1.136,1.262,-1.450,411.255,151.550,-87.280
-1.498,1.063,-1.256,406.311,181.702,-110.840
-1.592,0.698,-1.191,253.113,132.568,-175.781
-1.315,-0.401,-0.481,129.456,44.006,-189.697
-0.641,-2.185,0.753,-163.818,-166.138,-96.985
-0.060,-3.078,1.591,-285.095,-167.236,67.871
1.305,-2.530,3.726,-205.078,-16.907,70.984
1.701,-2.014,3.580,-112.488,177.063,-20.081
1.535,-1.791,2.369,-114.014,7.751,19.348
1.207,-1.052,3.276,61.768,-217.163,102.600
1.135,-0.834,3.676,177.612,-146.484,27.832
1.314,-0.345,4.000,213.989,-103.943,-152.893
1.407,0.153,3.962,136.292,-45.593,-160.095
1.440,0.854,3.370,91.064,-18.433,-144.104
1.303,0.920,3.024,-18.860,38.635,-59.814
0.411,0.583,2.076,-72.327,72.083,-0.854
-0.168,0.397,1.555,-110.413,82.336,69.458
-0.772,0.228,1.007,-97.778,67.200,65.125
-0.520,0.070,0.953,-63.293,54.016,5.005
-0.298,-0.054,0.955,-42.603,55.481,-41.687
0.016,-0.226,0.888,-36.194,52.124,-42.603
