aX,aY,aZ,gX,gY,gZ
-0.039,0.094,1.002,1.587,-0.977,0.977
-0.037,0.092,1.007,0.427,-2.258,0.244
-0.035,0.094,1.013,-0.061,-2.197,0.305
-0.036,0.094,1.015,-0.183,-0.610,1.404
-0.043,0.096,1.018,-0.305,0.549,2.197
-0.047,0.100,1.015,-0.488,2.441,2.747
-0.053,0.110,1.006,-0.488,2.686,2.380
-0.053,0.116,1.001,-1.892,1.282,0.610
-0.047,0.118,0.993,-2.625,0.366,-0.244
-0.044,0.115,0.991,-1.526,-0.122,-0.549
-0.040,0.111,0.993,-0.244,0.427,-0.305
-0.040,0.109,0.993,1.526,0.977,-0.549
-0.040,0.104,0.999,1.770,0.549,-1.160
-0.033,0.101,1.001,0.488,-1.038,-1.953
-0.031,0.101,1.000,-0.488,-1.343,-0.977
-0.033,0.104,0.999,-0.122,-0.854,-0.244
-0.035,0.105,1.002,1.343,-0.305,0.000
-0.036,0.101,1.010,1.648,-0.488,-0.427
-0.034,0.099,1.011,0.854,-1.038,-0.977
-0.030,0.101,1.006,0.183,-1.038,-0.793
-0.031,0.103,1.002,0.061,-0.305,0.366
-0.040,0.104,0.997,0.610,0.000,0.977
-0.045,0.105,1.000,1.953,0.366,1.587
-0.050,0.106,1.005,2.258,0.488,1.221
-0.040,0.105,1.003,2.258,-0.488,-0.610
-0.037,0.103,1.001,1.465,-1.404,-1.160
-0.039,0.102,0.993,1.770,-1.404,-1.038
0.022,0.120,1.007,0.000,0.488,1.587
0.022,0.115,1.002,0.244,-0.183,0.305
0.028,0.109,1.002,0.366,-1.587,-0.793
0.038,0.106,1.004,-0.122,-1.526,-0.061
0.031,0.113,1.004,-0.916,-0.305,1.709
0.029,0.116,1.002,-0.732,0.000,1.709
0.028,0.115,1.001,0.854,-0.671,-0.244
0.030,0.113,1.002,1.038,-1.648,-1.709
0.034,0.109,1.000,0.549,-1.831,-1.953
0.033,0.107,1.002,-0.366,-1.709,-1.526
0.030,0.106,1.010,-0.610,-1.526,-1.099
0.028,0.105,1.013,0.183,-0.427,-0.427
0.035,0.101,1.008,0.671,-0.061,-0.061
0.035,0.101,1.007,0.305,-1.160,0.244
0.034,0.105,1.006,-0.061,-1.221,0.427
0.033,0.105,0.999,0.671,0.000,0.916
0.031,0.106,1.000,1.465,0.122,1.099
0.030,0.106,1.008,2.075,-0.488,0.610
0.030,0.103,1.009,-0.305,-1.831,0.061
0.028,0.100,1.012,-1.038,-2.380,0.000
0.027,0.104,1.016,-0.793,-1.160,0.916
0.025,0.112,1.011,-0.488,0.061,1.099
0.027,0.112,1.005,-0.427,-0.427,0.000
0.030,0.107,0.999,-0.671,-1.587,-0.549
0.031,0.108,0.997,-0.244,-2.197,-0.305
0.023,0.117,0.997,0.366,-1.892,0.061
0.016,0.120,1.000,-0.122,-3.662,-0.610
0.006,0.118,1.007,-2.014,-6.287,-2.197
0.009,0.111,1.009,-6.470,-11.841,-6.653
0.023,0.091,1.024,-7.202,-12.329,-7.507
0.086,0.101,1.004,1.221,-0.854,0.122
0.089,0.103,1.009,1.038,-1.404,1.831
0.090,0.108,1.014,-0.244,-1.709,3.113
0.087,0.110,1.011,-1.465,-1.648,4.089
0.083,0.111,1.002,-0.732,-1.465,3.662
0.083,0.108,1.000,0.977,-1.404,3.418
0.081,0.109,0.997,1.221,-1.465,4.028
0.078,0.113,0.994,1.892,-2.502,4.944
0.071,0.121,0.998,2.075,-3.418,4.272
0.073,0.119,1.005,0.061,-4.211,1.953
0.078,0.110,1.008,-1.099,-3.723,1.526
0.077,0.109,1.005,-0.427,-2.625,2.380
0.070,0.115,1.007,1.343,-2.319,2.625
0.068,0.115,1.013,3.418,-1.526,1.831
0.067,0.114,1.013,1.770,-0.977,0.916
0.071,0.112,1.010,0.793,-0.916,0.366
0.076,0.110,1.010,-1.038,-1.038,-0.427
0.077,0.108,1.004,-2.136,-0.977,-0.244
0.074,0.110,0.997,-1.892,-0.610,-0.183
0.072,0.110,0.996,0.000,-0.610,-0.671
0.072,0.110,1.001,2.502,0.000,-1.648
0.074,0.112,1.007,1.709,-0.183,-2.014
0.072,0.113,1.004,-1.709,-1.587,-2.075
0.072,0.110,1.001,-2.258,-2.258,-1.465
0.073,0.101,0.997,-1.465,-2.563,-0.916
0.073,0.100,0.999,0.366,-3.174,0.549
0.072,0.108,1.003,0.854,-3.418,0.916
0.071,0.110,1.003,0.366,-4.700,0.488
0.072,0.109,1.004,-0.366,-5.920,0.305
0.071,0.109,1.005,-0.183,-6.348,0.732
0.022,0.054,0.996,-0.732,-0.366,1.038
0.027,0.058,0.996,2.136,-0.427,1.282
0.025,0.064,0.999,5.310,0.305,2.319
0.011,0.081,1.001,4.883,0.244,2.136
0.008,0.080,1.004,1.587,-1.892,-0.977
0.012,0.057,1.018,-0.122,-2.625,-2.014
0.015,0.047,1.021,-1.648,-1.831,-1.160
0.019,0.042,1.020,-1.160,-1.038,-0.183
0.022,0.051,1.007,1.953,0.427,0.061
0.024,0.053,1.004,3.540,0.793,-0.488
0.023,0.053,1.003,4.150,0.671,-1.404
0.023,0.050,1.006,2.625,-0.183,-1.709
0.031,0.042,1.006,-1.465,-1.953,-2.197
0.036,0.040,1.005,-0.488,-0.916,-0.427
0.038,0.043,0.997,1.892,-0.427,0.732
0.035,0.046,0.999,4.456,-1.892,1.770
0.022,0.053,1.006,3.967,-2.502,1.892
0.017,0.056,1.005,2.258,-2.747,1.282
0.013,0.057,1.000,1.526,-3.296,0.610
0.016,0.053,1.000,0.671,-5.127,0.183
0.017,0.047,1.005,0.427,-5.737,1.221
0.012,0.049,1.011,1.282,-5.371,3.845
-0.002,0.051,1.022,2.197,-4.211,4.089
-0.006,0.051,1.022,3.113,-2.808,2.441
-0.000,0.051,1.019,2.258,-3.479,0.854
0.006,0.048,1.018,-1.160,-5.310,-0.793
