-0.027,0.825,0.630,-95.154,3.540,-85.815
0.069,-0.053,0.560,-46.936,15.076,-88.196
0.115,-0.550,0.710,66.895,106.689,-74.768
0.062,-1.338,0.853,89.539,154.480,-59.265
-0.013,-1.588,0.744,17.761,61.768,-37.109
-0.038,-1.933,0.760,-11.597,-56.274,-40.771
0.068,-1.960,0.988,69.092,-152.832,-73.547
0.497,-1.714,1.444,120.361,-102.844,-88.501
0.677,-1.496,1.466,101.562,-10.376,-60.425
0.633,-0.987,1.382,49.927,-31.067,-16.724
0.471,-0.759,1.388,-52.002,-110.657,60.547
-0.018,-0.424,1.092,-86.121,-101.868,78.796
-0.317,-0.284,0.755,-93.750,-11.414,76.965
-0.649,-0.101,0.256,-70.862,15.442,60.547
-0.603,-0.080,0.217,-16.541,3.174,12.939
-0.380,-0.170,0.428,5.920,-11.047,-6.104
-0.300,-0.219,0.622,53.345,-23.010,-15.686
-0.028,-0.108,0.960,51.453,-15.991,-11.902
-0.025,-0.103,0.974,9.705,7.507,-10.376
-0.128,-0.135,0.873,5.005,3.052,-12.390
-0.116,-0.158,0.877,11.108,-18.005,-13.367
-0.027,-0.198,0.878,13.977,-18.616,-10.376
-0.007,-0.193,0.859,22.766,-14.282,3.174
-0.066,-0.101,0.911,28.748,-13.916,10.193
-0.106,-0.045,0.980,33.447,-14.404,10.071
-0.131,0.005,1.118,31.372,-14.343,3.174
-0.114,0.004,1.163,23.865,-5.005,-12.268
-0.050,-0.017,1.169,19.958,4.211,-18.433
-0.020,-0.035,1.135,11.902,17.639,-26.367
0.004,-0.062,1.046,8.179,17.273,-26.733
-0.173,0.611,0.512,-142.639,-27.954,-2.258
-0.171,-0.015,0.667,-28.687,-13.367,-33.203
-0.144,-0.364,0.816,36.743,15.015,-46.021
-0.160,-1.069,1.178,12.451,-2.686,-27.832
-0.195,-1.322,1.329,-54.077,-35.339,16.113
-0.208,-1.581,1.337,-39.124,-26.794,7.690
-0.081,-1.567,1.356,87.524,-8.606,-81.116
0.444,-1.330,1.617,128.967,-4.333,-120.117
0.670,-1.176,1.618,91.614,-4.944,-112.915
0.667,-0.784,1.416,50.049,-21.301,-71.960
0.492,-0.555,1.387,-15.686,-72.083,14.099
0.054,-0.187,1.274,-41.809,-77.271,38.391
-0.156,-0.084,1.060,-69.763,-35.278,44.312
-0.405,-0.006,0.573,-65.979,-12.573,34.058
-0.415,0.005,0.437,-32.715,-3.784,7.324
-0.298,0.021,0.440,-10.559,-12.573,-4.395
-0.227,0.027,0.540,25.024,-34.973,-17.578
-0.123,0.046,0.826,32.288,-42.114,-17.456
-0.089,0.059,0.944,27.405,-39.246,-11.353
-0.031,0.067,1.013,20.996,-30.396,-10.254
0.002,0.055,0.978,15.686,-18.677,-11.108
0.045,0.034,0.878,13.062,2.380,-10.925
0.039,0.034,0.859,15.137,4.578,-7.507
-0.039,0.060,0.906,19.836,-6.653,1.526
-0.091,0.089,0.940,20.020,-12.207,3.906
-0.132,0.116,0.961,18.250,-13.611,-2.136
-0.130,0.119,1.004,18.860,-10.315,-9.583
-0.094,0.103,1.030,21.973,3.296,-19.958
-0.029,0.082,1.043,22.583,10.986,-20.935
-0.010,0.071,1.036,19.897,13.062,-17.090
0.011,1.073,1.156,-93.445,3.296,-37.170
0.149,0.702,1.067,-76.477,24.048,-43.213
0.199,0.490,1.036,-43.457,51.331,-45.349
0.230,0.098,1.006,-41.321,40.344,-41.504
0.191,-0.064,1.003,-71.594,-20.142,-32.410
0.120,-0.445,0.970,-84.167,-40.039,-29.236
0.082,-0.618,0.936,-62.805,-22.949,-19.470
-0.091,-0.786,0.833,-39.001,-7.202,-19.653
-0.153,-0.875,0.808,-5.981,-28.931,-42.114
-0.140,-1.134,0.931,3.113,-54.626,-54.016
-0.075,-1.188,1.027,34.424,-66.162,-75.928
0.115,-1.065,1.174,54.626,-51.086,-86.365
