aX,aY,aZ,gX,gY,gZ
0.100,-0.375,0.943,1.038,2.869,1.770
0.088,-0.371,0.950,2.014,1.953,0.183
0.084,-0.369,0.958,3.113,1.831,-1.343
0.085,-0.371,0.963,5.493,3.479,-4.639
0.099,-0.378,0.972,6.531,3.845,-5.371
0.111,-0.392,0.996,7.568,3.052,-4.456
0.120,-0.402,1.018,7.568,3.235,-3.235
0.143,-0.413,1.066,6.104,3.967,0.183
0.159,-0.427,1.110,5.066,4.028,2.380
0.204,-0.479,1.214,4.517,10.925,8.179
0.237,-0.515,1.277,9.460,23.682,15.930
0.309,-0.587,1.499,15.869,32.532,19.958
0.348,-0.576,1.657,44.617,61.340,27.466
0.429,-0.547,1.977,62.500,77.820,25.513
0.474,-0.602,2.034,66.833,95.886,18.433
0.515,-0.695,1.888,49.988,84.839,21.606
0.504,-0.711,1.841,22.644,31.372,37.354
0.463,-0.760,1.985,26.306,15.320,43.457
0.447,-0.825,2.069,36.011,21.118,45.410
0.462,-0.955,2.105,31.311,27.344,40.161
0.474,-0.987,2.069,15.747,37.109,28.564
0.440,-0.968,1.855,5.554,37.964,26.672
0.344,-0.873,1.546,-33.020,4.883,33.691
0.273,-0.807,1.417,-55.481,-24.170,37.292
0.130,-0.708,1.196,-83.984,-59.143,34.058
0.086,-0.673,1.076,-101.074,-53.955,27.588
0.069,-0.600,0.831,-112.122,-49.744,26.306
0.077,-0.538,0.711,-129.944,-44.983,29.236
0.096,-0.392,0.515,-130.554,-45.349,30.029
0.120,-0.333,0.463,-121.216,-59.631,22.827
0.109,-0.364,0.928,-3.296,-0.122,0.122
0.106,-0.360,0.930,-2.686,0.671,-0.244
0.111,-0.361,0.930,-2.991,1.038,-0.366
0.112,-0.359,0.921,-3.967,-0.366,0.854
0.108,-0.352,0.911,-3.479,-2.014,1.770
0.102,-0.347,0.915,0.732,-2.747,2.563
0.089,-0.352,0.953,2.258,-1.770,2.014
0.091,-0.355,0.971,-0.854,1.526,0.122
0.101,-0.342,0.957,-3.540,2.502,-0.671
0.106,-0.341,0.947,-5.920,2.625,-1.770
