0.033,0.105,0.980,1.282,-2.014,0.244
0.046,0.114,0.963,2.686,-3.357,0.671
0.054,0.115,0.962,5.249,-7.202,1.099
0.089,0.119,0.979,6.165,-9.644,2.380
0.115,0.130,0.993,8.484,-9.888,4.456
0.169,0.163,1.031,10.010,-6.531,4.211
0.198,0.181,1.045,8.789,0.122,5.066
0.297,0.256,1.048,5.310,2.258,6.531
0.365,0.306,1.044,1.343,5.249,6.531
0.540,0.343,1.032,-6.653,18.616,0.122
0.652,0.337,1.002,-11.719,27.832,-0.793
0.766,0.350,0.947,-21.240,44.556,10.681
1.003,0.480,0.807,-23.071,49.500,15.320
1.181,0.550,0.737,-22.339,53.040,4.883
1.715,0.509,0.560,-21.912,53.894,-5.981
2.015,0.361,0.501,-10.498,49.438,-12.085
2.462,-0.047,0.581,8.423,54.138,0.610
2.528,-0.249,0.670,59.387,100.891,38.696
2.410,-0.678,0.651,77.942,123.840,52.673
2.271,-0.907,0.545,93.445,97.534,70.618
1.814,-1.373,0.532,103.394,49.805,78.125
1.463,-1.616,0.719,146.545,-37.048,112.366
0.590,-1.960,1.371,170.349,-52.917,151.428
0.162,-2.021,1.685,167.236,-22.583,253.906
-0.599,-1.919,1.959,132.263,4.578,295.105
-0.965,-1.710,1.933,52.307,43.030,331.482
-1.583,-1.254,1.751,31.555,53.284,322.571
-1.722,-1.107,1.664,41.565,61.462,263.428
-1.728,-0.923,1.531,54.993,62.805,233.032
-1.676,-0.873,1.465,59.021,58.533,206.177
-0.355,-1.063,1.839,120.422,-16.541,226.501
-0.628,-0.878,1.775,69.214,64.087,267.944
-0.860,-0.748,1.290,50.415,84.106,247.009
-0.858,-0.779,1.081,40.100,49.072,192.749
-0.923,-0.809,1.017,50.842,22.827,177.979
-0.953,-0.782,1.030,75.500,14.221,158.386
-0.842,-0.731,0.890,77.087,15.564,147.705
-0.744,-0.729,0.847,73.364,-6.653,134.338
-0.656,-0.731,0.952,75.073,-15.869,133.057
-0.673,-0.724,1.023,69.702,-22.827,131.897
-0.707,-0.698,1.133,51.819,-39.612,128.235
-0.708,-0.667,1.189,22.522,-66.772,123.108
-0.687,-0.530,1.207,-28.809,-86.365,115.845
-0.671,-0.423,1.146,-34.668,-65.125,113.403
-0.657,-0.305,1.071,-26.917,-24.414,101.318
-0.635,-0.103,0.989,-25.391,-21.057,90.820
-0.616,-0.038,0.984,-28.992,-23.499,67.322
-0.544,0.030,0.953,-29.175,-20.020,57.556
-0.494,0.057,0.931,-15.930,-7.263,39.917
-0.396,0.085,0.917,-5.615,-3.601,31.006
-0.335,0.079,0.933,8.667,-2.625,18.311
-0.214,0.047,0.973,13.611,-1.160,14.954
-0.159,0.035,0.977,16.174,0.488,12.085
-0.115,0.023,0.980,8.240,-7.812,6.470
-0.057,-0.005,0.999,3.601,-12.451,2.441
-0.022,-0.027,1.006,8.057,-6.775,-6.470
0.069,-0.090,1.024,13.794,-0.977,-10.498
0.117,-0.128,1.035,18.066,2.563,-14.465
0.173,-0.184,1.076,15.625,1.160,-13.000
0.184,-0.191,1.090,11.658,1.221,-9.705
1.633,-0.417,0.624,11.780,144.470,115.845
1.537,-0.486,0.610,25.208,139.465,129.272
1.218,-0.606,0.665,65.674,100.586,166.016
0.968,-0.681,0.745,85.754,74.829,185.120
0.670,-0.785,0.885,118.530,28.320,210.266
0.048,-0.947,1.405,131.653,10.925,220.276
-0.238,-0.924,1.680,126.831,7.080,237.305
-0.637,-0.734,1.861,108.215,25.757,237.793
-0.727,-0.671,1.738,74.707,72.266,210.510
-0.784,-0.687,1.382,68.176,79.468,190.002
-0.787,-0.744,1.312,82.275,59.265,149.414
-0.744,-0.846,1.366,97.473,48.279,127.808
-0.692,-0.855,1.349,107.544,37.292,93.445
-0.512,-0.839,1.211,98.816,28.503,86.426
-0.425,-0.851,1.177,71.167,3.296,96.680
-0.386,-0.788,1.143,58.716,-8.240,110.474
-0.420,-0.689,1.120,32.349,-37.659,133.972
-0.536,-0.450,1.085,16.235,-51.941,133.484
-0.568,-0.363,1.067,-9.033,-61.279,118.774
-0.599,-0.251,1.078,-10.254,-57.983,111.084
-0.605,-0.207,1.110,2.197,-37.903,93.750
-0.540,-0.128,1.119,8.728,-24.658,81.726
-0.474,-0.100,1.088,11.597,-14.771,68.054
-0.354,-0.087,1.030,5.371,-12.939,43.274
-0.321,-0.092,1.022,2.075,-15.320,34.973
-0.267,-0.097,1.030,4.639,-12.207,25.330
-0.230,-0.086,1.033,6.348,-9.460,22.583
-0.158,-0.050,1.022,4.272,-7.019,20.935
-0.138,-0.028,1.021,4.272,-5.981,20.752
-0.130,-0.002,1.029,5.554,-3.967,17.090
1.447,-0.209,0.789,12.512,100.830,90.637
1.406,-0.275,0.779,29.907,78.308,111.755
1.207,-0.400,0.822,41.443,63.354,117.981
1.081,-0.465,0.876,66.589,25.024,123.901
0.765,-0.625,1.034,79.163,6.592,127.075
0.566,-0.715,1.122,100.464,-11.780,140.381
0.139,-0.902,1.318,108.215,-16.907,148.560
-0.061,-0.965,1.454,114.990,-32.837,159.668
-0.433,-0.875,1.679,106.873,-30.884,165.405
-0.607,-0.785,1.674,70.068,12.573,177.673
