aX,aY,aZ,gX,gY,gZ
-0.506,-0.924,1.605,167.48,46.692,1.587
-0.271,-1.213,1.99,184.448,29.297,-48.706
0.178,-1.408,2.509,159.363,29.602,-52.429
0.249,-1.325,2.483,89.6,72.266,-20.447
0.259,-1.062,2.227,64.636,99.67,-5.432
0.258,-0.927,2.01,37.964,108.093,-0.061
0.301,-0.772,1.666,33.081,75.5,-7.935
0.314,-0.778,1.62,42.786,-7.874,-25.696
0.278,-0.886,1.811,53.284,-26.672,-27.954
0.271,-0.913,1.925,49.011,-18.433,-18.066
0.241,-0.78,1.91,27.527,-9.399,-10.193
0.212,-0.66,1.769,-19.104,2.502,-0.305
0.158,-0.472,1.352,-22.034,1.16,0
0.148,-0.453,1.263,14.038,-12.146,-7.935
0.169,-0.47,1.224,30.396,-12.329,-10.62
0.18,-0.477,1.194,33.813,-14.465,-10.864
0.166,-0.475,1.148,23.132,-22.217,-8.972
0.126,-0.443,1.133,11.169,-27.771,-5.676
0.033,-0.363,1.063,-0.244,-16.907,0.671
0.011,-0.342,1.007,9.827,-0.427,-2.686
0.047,-0.352,0.956,17.029,0.977,-7.507
0.085,-0.377,0.948,19.958,0.366,-11.353
0.138,-0.433,0.908,11.719,-2.136,-10.925
0.144,-0.452,0.894,6.653,-3.906,-7.996
0.137,-0.463,0.896,5.554,-1.099,-1.221
0.095,-0.456,0.911,8.789,3.174,1.282
0.079,-0.446,0.91,15.686,7.446,0.732
0.086,-0.449,0.928,16.418,5.859,-1.709
0.098,-0.459,0.94,12.512,4.272,-4.7
0.107,-0.471,0.943,9.949,5.493,-4.272
0.375,-0.702,1.538,167.725,84.961,-27.649
0.407,-0.79,1.655,128.174,46.875,-39.795
0.483,-0.96,1.974,94.238,20.142,-43.579
0.409,-0.918,1.996,64.941,28.748,-18.311
0.153,-0.705,1.751,71.594,40.405,-9.705
0.128,-0.682,1.723,85.144,19.409,-29.297
0.306,-0.813,1.893,80.444,2.747,-41.748
0.392,-0.82,1.949,53.955,7.507,-36.194
0.4,-0.648,1.744,36.499,23.132,-21.484
0.352,-0.543,1.534,14.526,30.029,-1.831
0.307,-0.451,1.242,12.268,13.428,-2.075
0.299,-0.457,1.199,16.174,-30.457,-7.385
0.266,-0.485,1.249,20.081,-42.114,-6.958
0.236,-0.48,1.285,23.682,-36.743,1.038
0.168,-0.437,1.233,19.287,-28.564,4.517
0.138,-0.423,1.163,5.127,-25.818,4.089
0.115,-0.412,1.039,7.629,-27.344,2.197
0.112,-0.399,1.027,30.823,-26.733,-2.258
0.135,-0.431,1.104,38.696,-26.428,-5.005
0.161,-0.467,1.157,34.668,-18.372,-4.028
