aX,aY,aZ,gX,gY,gZ
0.159,-1.98,0.947,16.541,-5.432,53.65
0.112,-2.005,0.851,-35.645,-22.461,57.556
0.063,-1.765,0.475,-57.495,-33.569,70.374
-0.053,-1.584,0.489,-59.021,-64.453,113.464
-0.379,-1.237,0.834,-51.025,-59.204,122.986
-0.485,-0.888,0.945,-60.486,-15.686,114.685
-0.531,0.215,0.811,-80.383,2.075,99.731
-0.498,0.583,0.63,-100.159,9.094,79.041
-0.432,0.68,0.484,-99.365,-4.883,43.152
-0.223,0.605,0.56,-70.618,-12.878,38.513
-0.176,0.693,0.742,-7.08,-7.263,51.392
-0.269,1.019,1.056,8.484,-1.038,53.406
-0.327,1.12,1.188,7.935,-2.38,35.95
-0.391,1.121,1.433,-0.732,-1.953,26.672
-0.368,1.079,1.424,-21.851,8.606,16.296
-0.269,1.05,1.22,-28.87,10.315,14.16
-0.206,1.042,1.105,-30.518,12.573,10.254
-0.085,0.939,0.919,-24.658,18.982,-0.732
-0.045,0.86,0.893,-22.339,19.653,-3.845
-0.022,0.779,0.899,-22.278,21.667,-8.789
-0.007,0.591,0.891,-24.109,22.034,-11.475
0.005,0.493,0.864,-19.165,10.803,-14.099
0.032,0.344,0.849,-11.78,0.61,-11.841
0.036,0.298,0.89,4.395,-12.695,-1.587
0.04,0.238,0.978,9.766,-11.23,3.357
0.038,0.216,0.993,11.23,-7.812,7.69
0.021,0.203,0.997,5.371,-2.38,14.282
-0.041,0.209,0.998,1.892,0.549,15.503
0.336,-1.387,1.198,2.075,-4.7,31.86
0.277,-1.488,1.127,-19.714,8.728,68.665
0.189,-1.615,0.954,-36.743,-1.648,74.28
0.155,-1.593,0.862,-72.449,-31.433,71.838
-0.025,-1.328,0.681,-76.599,-32.227,75.195
-0.101,-1.169,0.647,-49.805,-14.648,89.416
-0.172,-0.847,0.751,-40.161,-11.353,97.351
-0.205,-0.675,0.815,-52.979,-16.052,90.515
-0.156,-0.23,0.821,-65.796,-20.081,71.411
-0.123,0.095,0.74,-75.256,-22.766,55.298
-0.161,0.435,0.621,-64.575,-12.146,63.843
-0.379,0.813,0.531,-41.016,-0.793,75.928
-0.479,0.867,0.653,16.052,14.648,73.608
-0.499,0.994,1.068,37.109,19.897,59.448
-0.435,1.048,1.241,48.401,29.846,31.921
-0.307,1.089,1.41,41.87,34.668,23.865
-0.285,1.078,1.384,32.227,39.856,17.761
-0.273,1.04,1.301,16.174,48.767,2.686
-0.181,0.975,1.095,11.597,48.706,-6.714
-0.111,0.949,1.018,5.31,37.476,-25.208
0.023,0.814,0.931,5.249,29.968,-32.288
0.082,0.708,0.939,14.16,18.066,-35.889
0.132,0.507,1.037,16.663,14.465,-31.86
0.116,0.428,1.068,14.954,11.78,-25.33
0.097,0.359,1.071,6.897,0,-13.977
0.102,0.246,1.096,4.639,-6.958,-11.597
0.104,0.212,1.106,-2.563,-12.39,-10.437
0.081,0.19,1.09,-9.094,-13.55,-10.193
0.074,0.184,1.08,-19.043,-13.611,-8.85
0.082,0.148,1.046,-20.203,-10.803,-6.714
-0.304,1.226,1.003,3.174,33.997,59.204
-0.306,1.223,0.953,8.24,15.259,34.729
-0.264,1.072,0.957,13.794,1.648,21.851
-0.239,0.923,1.013,28.564,-15.625,-0.732
-0.127,0.545,1.18,32.715,-19.348,-11.841
-0.036,0.361,1.272,19.409,-25.024,-33.447
0.084,0.077,1.324,4.15,-22.339,-36.682
0.068,0.006,1.253,-23.254,-0.854,-12.695
0.023,0.049,1.075,-29.053,4.456,2.625
0.015,0.099,1.073,-22.339,0.244,13.367
-0.014,0.221,1.069,-18.86,2.93,16.113
-0.07,0.289,1.056,-17.883,4.517,14.16
-0.12,0.327,1.052,-22.278,0.244,-4.028
-0.146,0.295,1.051,-23.987,0.793,-12.024
-0.132,0.261,1.031,-21.484,6.287,-15.991
-0.066,0.199,1.002,-18.921,5.31,-16.479
-0.018,0.165,1.015,-17.517,-0.671,-20.691
0.041,0.102,1.031,-18.921,-0.793,-21.973
0.05,0.082,1.019,-20.02,4.395,-19.836
0.058,0.051,1.002,-17.578,7.629,-16.602
0.063,0.043,0.997,-13.489,10.62,-12.573
0.063,0.04,0.996,-7.568,9.583,-7.08
0.048,0.039,1.01,-9.827,5.005,-7.385
0.039,0.039,1.009,-24.292,-6.287,-11.719
0.026,0.037,0.99,-29.297,-10.437,-14.099
0.023,0.03,0.99,-22.461,-7.629,-12.146
