aX,aY,aZ,gX,gY,gZ
0.093,-0.126,0.981,-6.287,1.587,-2.808
0.092,-0.121,0.972,-6.592,2.686,-3.418
0.095,-0.115,0.960,-6.287,1.831,-3.723
0.108,-0.118,0.964,-2.625,-2.625,-5.554
0.114,-0.119,0.978,0.488,-4.883,-6.592
0.124,-0.127,1.014,5.249,-5.981,-7.812
0.133,-0.133,1.029,2.991,-4.333,-7.324
0.143,-0.132,1.043,-0.427,-3.479,-6.470
0.138,-0.127,1.037,-6.714,-0.916,-5.310
0.133,-0.116,1.013,-8.057,-0.183,-5.554
0.135,-0.114,1.003,-8.484,-1.892,-6.531
0.139,-0.114,0.997,-8.301,-3.052,-6.287
0.131,-0.115,0.992,-8.728,-3.113,-4.211
0.125,-0.114,0.989,-9.216,-0.854,-2.014
0.117,-0.104,0.986,-9.460,0.671,-1.099
0.114,-0.098,0.979,-10.010,2.319,-0.671
0.116,-0.092,0.963,-9.094,1.770,-1.404
0.119,-0.096,0.962,-4.150,-0.977,-3.235
0.120,-0.099,0.973,1.465,-4.761,-3.784
0.121,-0.103,1.007,2.197,-5.249,-3.235
0.119,-0.104,1.015,-0.427,-2.625,-0.732
0.114,-0.096,1.006,-1.526,-0.977,0.244
0.112,-0.089,1.002,-1.343,-0.610,0.000
0.115,-0.078,1.007,-1.343,-2.258,-1.099
0.116,-0.073,1.015,-1.892,-5.798,-2.930
0.115,-0.069,1.018,-1.953,-5.859,-3.052
0.114,-0.059,1.015,-2.136,-4.761,-2.502
0.119,-0.038,1.014,-3.479,-2.014,-0.671
0.118,-0.027,1.012,-4.944,-1.221,-0.305
0.114,0.008,0.998,-7.568,0.427,-1.465
0.210,-0.010,0.953,-0.610,3.601,3.662
0.216,-0.012,0.960,1.038,2.563,4.211
0.223,-0.016,0.973,2.319,2.625,5.554
0.224,-0.015,0.979,3.662,3.357,7.019
0.231,-0.015,0.998,3.906,2.563,7.080
0.233,-0.019,1.007,2.136,1.038,6.226
0.239,-0.030,1.019,-1.831,0.183,4.456
0.241,-0.037,1.023,-3.540,3.174,3.784
0.243,-0.049,1.020,-3.601,6.165,4.822
0.238,-0.049,1.011,-1.892,13.306,9.766
0.218,-0.039,0.985,-0.610,15.442,12.146
0.206,-0.033,0.976,1.099,13.489,13.794
0.197,-0.028,0.972,1.770,10.498,13.123
0.199,-0.027,0.978,2.930,4.211,10.864
0.212,-0.033,0.995,3.479,2.075,9.949
0.226,-0.035,1.007,4.028,1.465,10.010
0.228,-0.031,1.005,3.784,2.441,10.681
0.229,-0.019,0.991,3.235,3.906,10.986
0.232,-0.016,0.984,2.014,2.625,9.521
0.245,-0.012,0.978,1.282,1.160,8.667
0.252,-0.009,0.978,0.977,-0.671,6.714
0.268,0.004,0.979,1.404,-0.732,6.226
0.276,0.019,0.979,3.235,0.427,6.958
0.292,0.068,0.984,4.578,1.953,7.507
0.308,0.094,0.994,6.409,5.676,7.812
0.351,0.171,1.037,5.554,7.446,7.385
0.413,0.274,1.066,-0.610,13.550,5.554
0.450,0.322,1.074,-8.545,18.066,7.141
0.525,0.410,1.104,-12.451,17.456,9.949
0.556,0.466,1.129,-20.203,14.343,23.926
