aX,aY,aZ,gX,gY,gZ
-0.330,-0.097,1.113,-21.179,-13.550,-67.993
-0.253,-0.130,1.124,-25.879,-17.517,-68.481
-0.125,-0.140,1.096,-32.959,-20.508,-62.256
0.160,0.012,0.982,6.531,-2.441,2.869
0.161,-0.008,0.999,4.639,-4.517,2.991
0.162,-0.015,1.012,2.014,-6.836,4.333
0.161,-0.012,1.021,1.465,-6.042,5.371
0.141,0.018,1.006,0.793,-3.967,7.202
0.126,0.034,0.998,0.854,-3.418,6.836
0.115,0.041,0.987,0.305,-3.662,2.625
0.116,0.034,0.990,-0.427,-6.470,-1.343
0.124,0.017,1.010,0.427,-6.775,-2.502
0.126,0.018,1.011,1.282,-3.540,-2.808
0.115,0.041,0.999,0.427,-1.709,-3.479
0.111,0.046,0.986,-3.906,-1.709,-9.521
0.120,0.019,0.960,-5.432,-4.272,-12.329
0.125,0.004,0.963,-2.075,-11.047,-12.390
0.130,-0.010,1.005,2.197,-12.085,-10.071
0.135,-0.005,1.032,8.545,-6.653,-3.174
0.134,0.002,1.020,5.981,-0.977,3.296
0.114,0.025,0.985,3.357,-0.916,4.944
0.100,0.035,0.981,-1.404,-4.761,2.075
0.089,0.034,1.002,-2.319,-6.592,-1.282
0.101,0.027,1.018,0.977,-5.432,-5.310
0.114,0.010,1.032,3.052,-2.502,-5.493
0.116,0.006,1.021,2.502,4.089,-4.028
0.108,-0.006,0.986,1.099,5.493,-3.662
0.098,-0.022,0.984,-0.488,4.150,-3.784
0.096,-0.026,0.989,-0.488,3.113,-3.296
0.089,-0.026,0.993,-0.305,2.808,-0.427
0.083,-0.023,0.993,-0.854,3.784,2.930
0.067,-0.016,0.986,-1.404,4.456,4.578
0.063,-0.015,0.987,-1.953,5.188,7.202
0.139,-0.020,0.986,0.000,-0.305,-5.310
0.140,-0.021,0.981,-0.122,-1.160,-3.662
0.132,-0.020,0.982,-0.610,-2.441,-2.991
0.128,-0.021,0.984,0.671,-3.723,-2.502
0.128,-0.025,0.999,2.625,-3.601,-2.319
0.133,-0.027,1.006,5.615,-1.282,-1.343
0.136,-0.022,1.003,5.066,-0.732,-0.305
0.128,-0.017,1.000,0.793,-2.930,1.160
0.106,-0.009,1.001,-0.671,-3.601,1.038
0.104,-0.004,1.002,-0.305,-3.357,-0.732
0.109,-0.002,1.001,0.366,-3.784,-1.526
0.113,-0.005,1.009,3.601,-4.761,-2.075
0.115,-0.007,1.012,6.714,-1.892,-1.770
0.122,-0.009,1.005,6.409,-0.366,-1.038
0.118,-0.005,1.005,3.052,-0.549,0.916
0.103,0.004,1.014,1.099,-0.854,1.099
0.101,0.006,1.010,0.244,-0.305,0.061
0.111,0.001,1.003,1.648,-0.793,-0.427
0.113,-0.002,1.006,4.456,-0.427,0.061
0.119,-0.010,1.005,4.517,0.610,0.610
0.121,-0.015,1.000,2.380,0.671,2.686
0.098,-0.014,1.001,0.977,-0.671,3.540
0.077,-0.013,1.016,-1.282,-3.174,1.953
0.074,-0.012,1.017,-2.930,-3.296,0.244
0.061,-0.011,1.008,-9.460,-2.869,-2.625
0.056,-0.019,0.995,-16.235,-4.761,-5.371
0.038,-0.032,0.991,-16.968,-5.676,-5.249
0.023,-0.035,0.998,-11.475,0.671,-5.615
0.002,-0.051,0.998,-8.667,5.310,-6.287
-0.005,-0.066,0.991,-8.972,7.935,-7.019
0.141,-0.037,1.023,-8.728,-6.104,-2.563
0.141,-0.032,1.022,-9.216,-6.897,-3.845
0.143,-0.025,1.013,-8.423,-6.165,-4.333
0.148,-0.026,1.005,-6.836,-3.174,-5.188
0.148,-0.030,1.003,-7.263,-2.808,-5.676
0.151,-0.035,1.002,-12.756,-4.028,-9.033
0.160,-0.037,0.990,-16.052,-4.395,-10.254
0.161,-0.043,0.969,-16.663,-4.944,-8.667
0.155,-0.042,0.969,-9.888,-6.042,-5.432
0.143,-0.033,0.978,-5.676,-5.676,-4.333
0.136,-0.025,0.983,-0.610,-3.784,-4.211
0.119,-0.014,0.993,-1.526,-3.723,-5.005
0.111,-0.017,1.000,-8.728,-7.263,-8.972
0.108,-0.028,1.000,-11.230,-8.423,-10.254
0.106,-0.024,1.006,-7.751,-6.104,-8.728
0.093,-0.017,1.025,-4.639,-3.174,-8.179
0.074,-0.008,1.031,-7.019,-1.953,-10.681
0.078,-0.013,1.015,-11.841,-0.977,-15.137
0.090,-0.022,0.986,-12.451,-1.343,-14.343
0.087,-0.024,0.978,-9.338,-2.563,-7.874
0.065,-0.014,0.990,-5.859,-2.808,-5.676
0.055,-0.007,0.993,-0.916,0.671,-5.737
0.056,-0.013,0.975,0.549,2.075,-6.409
0.056,-0.026,0.985,4.578,0.549,-5.188
0.055,-0.028,0.996,6.775,0.549,-3.052
0.054,-0.027,0.999,7.629,2.563,0.610
0.054,-0.029,0.997,5.127,5.127,4.028
0.045,-0.038,0.984,6.409,7.019,5.554
0.033,-0.042,0.989,7.385,7.446,6.775
0.014,-0.053,1.010,6.348,6.897,5.920
0.101,-0.066,1.032,-1.343,-8.362,-8.911
0.087,-0.067,1.036,0.000,-5.554,-4.150
0.080,-0.058,1.030,0.061,-4.150,-2.014
0.059,-0.034,1.003,-0.488,-1.648,-0.305
0.050,-0.026,0.989,-0.366,-0.854,-0.793
0.048,-0.025,0.972,-0.854,-1.892,-2.869
0.052,-0.026,0.969,0.427,-2.319,-2.075
0.054,-0.026,0.967,1.648,-1.282,-0.610
0.052,-0.026,0.975,2.441,0.061,2.075
0.047,-0.025,0.997,1.709,0.671,2.625
0.047,-0.028,0.998,0.122,3.235,2.502
0.060,-0.039,0.981,0.061,4.456,2.808
0.064,-0.044,0.976,1.648,5.005,4.822
0.068,-0.048,0.988,2.258,4.517,5.920
0.073,-0.050,0.989,2.502,2.930,8.484
0.078,-0.046,0.996,2.747,2.319,10.376
0.073,-0.046,1.005,1.526,3.113,14.221
0.057,-0.048,1.000,-0.427,4.028,15.991
0.042,-0.042,0.986,-3.662,4.883,19.043
-0.003,-0.021,0.958,-3.540,5.493,19.470
-0.054,-0.023,0.964,-2.197,4.456,18.250
-0.070,-0.041,0.996,-1.526,-2.014,14.587
-0.081,-0.069,1.069,-2.136,-2.747,13.611
-0.084,-0.073,1.072,-6.042,3.174,15.076
-0.114,-0.082,1.046,-7.385,5.310,16.052
